"G1"	"G2"	"G3"	"G4"	"G5"	"G6"	"G7"	"G8"	"G9"	"G10"	"G11"	"G12"	"G13"	"G14"	"G15"	"G16"	"G17"	"G18"	"G19"	"G20"	"G21"	"G22"	"G23"	"G24"	"G25"	"G26"	"G27"	"G28"	"G29"	"G30"	"G31"	"G32"	"G33"	"G34"	"G35"	"G36"	"G37"	"G38"	"G39"	"G40"	"G41"	"G42"	"G43"	"G44"	"G45"	"G46"	"G47"	"G48"	"G49"	"G50"
"1"	0	0	0	0.0864940112775115	0	0	0.475505354866219	0	0.805300918636322	0	0	0.764151927437479	0	0.679056104963735	0.913111979314074	0.125157326781306	0	0	0	0.726682411829847	0.6346264243694	0.710024178345663	0	0.9045358923003	0	0	0	0	0.323905758212921	0	0	0	0.68504751131913	0	0	0.143862296403009	0.810842325622521	0	0	0.8454476997736	0.565274379741217	0	0	0	0	0	0.865993771534929	0	0	0
"2"	0	0	0	0.0742937017061607	0	0	0.383245648002341	0	0.741060507297226	0	0	0.601636843593712	0.514929251938195	0.670838275766841	0.863045124518205	0.133157552959836	0	0	0	0.712854197213641	0.535241730534567	0.661514791756557	0	0.829814092751159	0	0	0	0	0.256695951917607	0	0	0	0.566694591351967	0	0	0.0998661222436531	0.71631473240667	0	0	0.727113911547094	0.483631576180465	0	0	0	0	0	0.739262540552959	0	0	0
"3"	0	0	0	0.0659220259421556	0	0.331117793162261	0.305583898354997	0	0.691178615546795	0	0	0	0.53671920490678	0.595584499075708	0.828288541509631	0.122951679342621	0	0	0.905132148281987	0.698254039858243	0.452285905822644	0.624863895480455	0	0.769756277118139	0	0	0	0	0.2057329024147	0	0	0	0	0.415321892973076	0	0.0692609205207834	0.643417111364195	0	0	0.646904346240403	0.432555960730378	0	0	0	0	0	0.642793845541618	0	0	0
"4"	0	0	0	0	0	0.376053578981876	0.246122365398838	0	0	0	0	0	0.506794045333428	0.508514539880534	0	0.110724083764747	0	0	0.954190425075266	0.678588447812705	0.383989611929469	0.597173098571075	0	0.72148465120557	0	0	0.928386716438161	0	0.167097055751186	0	0	0.771299829578552	0	0.418644842640541	0.644150654325874	0	0.58118228602051	0	0	0	0	0	0.985863501394384	0	0	0	0	0	0.500637446720662	0.476362736876589
"5"	0.71667634539452	0.483226351598728	0	0	0.732162609257465	0.370108180794599	0	0	0	0	0.23585571976735	0	0.464155445734765	0.428621447421895	0	0.0995588824546872	0.994133050424087	0	0.977879575464379	0.653643707304766	0.328045553199987	0	0	0.682686191298672	0.774929895937781	0	0.948197322763245	0	0	0.871023216692074	0	0.810197371336873	0	0.419891749848364	0.68583476688516	0	0.527450967055803	0.867906690060296	0	0	0	0	0.989723601928359	0	0.646067380810169	0	0	0	0.540965681411941	0.487082044703778
"6"	0.780366022631357	0.496850917552067	0	0	0.795956519016366	0.33781789021785	0	0.646567874285315	0	0	0.242601865312491	0	0.424387434858409	0.35963609674199	0	0.0901089762791373	0.995531496793561	0.75552594519292	0.989318545314021	0.625013433759604	0	0	0	0	0.798691867679593	0	0.962526750630773	0.459156670048838	0	0.896197770321655	0.658804880883771	0.837778412717461	0	0.419936304408287	0.714518902362231	0	0.480922177858796	0.897446663573822	0	0	0	0.699484273158287	0.992472745189081	0	0.65437564775133	0.912601356278147	0	0	0.569287366471121	0.494705430868443
"7"	0.829705530308143	0.507581683204724	0.349641635966948	0	0.844555900068711	0.29850932701835	0	0.670991464364082	0	0	0.247803050174034	0	0	0	0	0	0.996596609422393	0.804224230904614	0.99484216616074	0.594694423608686	0	0	0	0	0.816758047047236	0	0.972891433428001	0.463758801032888	0	0.91522342673624	0.717966918967918	0.857456084834264	0	0.419322774738808	0.734244603432304	0	0	0.920188575027133	0.325763944175923	0	0	0.755867857962838	0.994431725365479	0	0.660775962094951	0.920767345071	0	0.907000842522612	0.589193593409521	0.500128324181988
"8"	0.867925950401805	0.516033276589268	0.37369130226798	0	0.881579807955801	0.261545238587789	0	0.690875455058651	0	0	0.251829175916817	0	0	0	0	0	0.997407841756262	0.843222006543248	0.997509398233151	0.564230118783779	0	0	0	0	0.830425413847223	0	0.980388319528462	0.467620743457006	0	0.929464306399432	0.766258729515059	0.87159291880968	0	0.418386301362789	0.747804697688683	0	0	0.937625435619749	0.339321960310437	0	0	0.801660689967347	0.995828658131911	0	0.665670652333739	0.927544420072278	0	0.92116173120854	0.603217480156736	0.503986418853253
"9"	0.897531950088718	0.522689782717308	0.394121702890128	0	0.909785306164829	0.229656891410197	0	0.707125466732145	0	0	0.254963536498592	0	0	0	0	0	0.998025708713895	0.874451576178716	0.998797344514316	0.534569816595893	0	0	0	0	0.840696410096423	0	0.985810879915986	0.470859773258869	0	0.940023106084414	0.805672400410161	0.881827721190791	0	0.417328711927707	0.757124365327748	0	0	0.950898133592922	0.351062661503189	0	0	0.838851719565554	0.996825705241706	0	0.669380915256032	0.933165788840157	0	0.933166355538805	0.613128266973676	0.506731450640254
"10"	0.920464521671948	0.527932469869957	0.411477911915554	0	0.931272776683761	0	0	0.720469343010666	0	0	0.257420981004137	0	0	0	0	0	0.998496300875224	0.899460336387346	0.999419264759025	0	0	0	0.538848433776391	0	0.848366786716066	0.113905854640505	0.98973305493863	0.473575307457991	0	0.947775293373647	0.837837340900113	0.889300237998428	0	0.416267162595627	0.763528911352718	0	0	0.960874535636161	0.36145862342821	0	0	0.869056557753452	0.997538130679264	0.360169575486697	0.672162757614567	0.937826423883571	0	0.943343047730022	0.620153980354873	0.508684607056112
