SUID,AverageShortestPathLength,BetweennessCentrality,ClosenessCentrality,ClusteringCoefficient,Eccentricity,EdgeCount,Indegree,IsSingleNode,name,NeighborhoodConnectivity,Outdegree,PartnerOfMultiEdgedNodePairs,selected,SelfLoops,shared name,Stress,,
3963,1.40909091,0.04404192,0.70967742,0.3015873,2,39,26,FALSE,Gfi1b,14.39285714,13,11,FALSE,0,Gfi1b,193,,In 前10个 -red
3951,1.31818182,0.1033823,0.75862069,0.375,2,40,25,FALSE,Myb,15.8,15,15,FALSE,0,Myb,294,,Out 前15个 -yellow
3955,1.45454545,0.02967913,0.6875,0.39920949,3,34,21,FALSE,Ets1,16.13043478,13,11,FALSE,0,Ets1,133,,
3985,1.45454545,0.02933317,0.6875,0.44588745,3,34,21,FALSE,Gata2,17.09090909,13,12,FALSE,0,Gata2,129,,
4001,1.5,0.02054622,0.66666667,0.38809524,2,32,21,FALSE,Nkx2.3,16,11,11,FALSE,0,Nkx2.3,118,,
3975,1.27272727,0.06393755,0.78571429,0.43809524,2,35,19,FALSE,Prdm16,16.80952381,16,14,FALSE,0,Prdm16,243,,
4006,1.63636364,0.01866084,0.61111111,0.39285714,2,27,19,FALSE,Runx1,16.0952381,8,6,FALSE,0,Runx1,92,,
3971,1.40909091,0.02961837,0.70967742,0.48538012,3,32,18,FALSE,Notch,17.68421053,14,13,FALSE,0,Notch,122,,
3969,1.45454545,0.02158592,0.6875,0.42094862,3,31,18,FALSE,Mitf,16.39130435,13,8,FALSE,0,Mitf,101,,
3989,1.59090909,0.01136491,0.62857143,0.42619048,3,28,18,FALSE,Hhex,16.71428571,10,7,FALSE,0,Hhex,71,,
3973,1.59090909,0.01288508,0.62857143,0.40522876,2,25,16,FALSE,Pbx1,16.22222222,9,7,FALSE,0,Pbx1,74,,
4026,1.63636364,0.0117569,0.61111111,0.51102941,3,23,14,FALSE,Tal1,17.88235294,9,6,FALSE,0,Tal1,50,,
3961,1.54545455,0.01470541,0.64705882,0.52941176,3,24,13,FALSE,Gata3,18.05555556,11,6,FALSE,0,Gata3,65,,
4011,1.68181818,0.01583904,0.59459459,0.41911765,3,22,13,FALSE,Ikzf1,16.88235294,9,5,FALSE,0,Ikzf1,68,,
3953,1.59090909,0.00542585,0.62857143,0.5375,3,22,12,FALSE,Cbfa2t3h,18.0625,10,6,FALSE,0,Cbfa2t3h,38,,
3982,1.45454545,0.0434218,0.6875,0.54044118,2,23,11,FALSE,Ets2,18.23529412,12,6,FALSE,0,Ets2,165,,
4041,1.68181818,0.00397589,0.59459459,0.53205128,3,14,6,FALSE,Hoxa9,17.92307692,8,1,FALSE,0,Hoxa9,26,,
3957,1.63636364,0.00647879,0.61111111,0.61818182,3,14,5,FALSE,Etv6,19.54545455,9,3,FALSE,0,Etv6,21,,
4019,1.90909091,0.00124985,0.52380952,0.64285714,3,9,4,FALSE,Tcf7,19.57142857,5,2,FALSE,0,Tcf7,9,,
3949,1.63636364,0.00253008,0.61111111,0.58181818,3,12,2,FALSE,Bptf,19.72727273,10,1,FALSE,0,Bptf,11,,
3959,1.68181818,0.00125585,0.59459459,0.57777778,3,11,2,FALSE,Fli1,19.3,9,1,FALSE,0,Fli1,7,,
3965,1.63636364,2.79E-04,0.61111111,0.72222222,3,10,1,FALSE,Hoxb4,21.1,9,0,FALSE,0,Hoxb4,2,,
3977,1.81818182,0,0.55,0.86666667,3,6,1,FALSE,Erg,22.5,5,0,FALSE,0,Erg,0,,
3967,1.65217391,0,0.60526316,0.62878788,3,12,0,FALSE,Lmo2,19.25,12,0,FALSE,0,Lmo2,0,,
3995,1.65217391,0,0.60526316,0.66666667,3,10,0,FALSE,Meis1,20.7,10,0,FALSE,0,Meis1,0,,
3991,1.65217391,0,0.60526316,0.83333333,3,9,0,FALSE,Hoxa5,21.77777778,9,0,FALSE,0,Hoxa5,0,,
3999,1.82608696,0,0.54761905,0.73214286,3,8,0,FALSE,Nfe2,22.125,8,0,FALSE,0,Nfe2,0,,
4029,1.7826087,0,0.56097561,0.48214286,3,8,0,FALSE,Smarcc1,18.5,8,0,FALSE,0,Smarcc1,0,,
4035,1.69565217,0,0.58974359,0.73214286,3,8,0,FALSE,Gata1,21.375,8,0,FALSE,0,Gata1,0,,
3948,1.82608696,0,0.54761905,0.66666667,3,7,0,FALSE,Lyl1,20.85714286,7,0,FALSE,0,Lyl1,0,,
4021,2.08695652,0,0.47916667,0.5,3,3,0,FALSE,Ldb1,19.33333333,3,0,FALSE,0,Ldb1,0,,
