TF,sign
Lyl1,1
Myb,1
Bptf,1
Ets1,-1
Etv6,1
Fli1,1
Gata3,1
Gfi1b,1
Hoxb4,-1
Lmo2,1
Mitf,1
Notch,-1
Pbx1,1
Prdm16,1
Prdm16,1
Bptf,-1
Cbfa2t3h,-1
Erg,1
Ets2,-1
Etv6,-1
Gata2,-1
Gata3,-1
Gfi1b,1
Hhex,-1
Hoxa5,1
Hoxb4,1
Lmo2,-1
Meis1,1
Mitf,1
Myb,1
Nfe2,1
Nkx2.3,-1
Notch,1
Pbx1,-1
Prdm16,-1
Runx1,1
Erg,1
Gata3,1
Gfi1b,1
Ikzf1,-1
Meis1,-1
Myb,-1
Nkx2.3,1
Pbx1,1
Prdm16,1
Runx1,-1
Tcf7,-1
Ldb1,-1
Mitf,-1
Myb,1
Runx1,1
Tal1,-1
Myb,1
Smarcc1,1
Bptf,-1
Cbfa2t3h,1
Ets1,-1
Ets2,1
Gata1,-1
Gata3,1
Gfi1b,1
Hhex,1
Hoxa5,1
Hoxa9,-1
Hoxb4,1
Ikzf1,-1
Lmo2,1
Myb,-1
Nfe2,1
Nkx2.3,1
Notch,-1
Pbx1,1
Prdm16,1
Runx1,-1
Tal1,1
Cbfa2t3h,-1
Ets1,-1
Fli1,1
Gata2,1
Hoxa5,1
Lmo2,-1
Meis1,-1
Mitf,1
Myb,-1
Nkx2.3,1
Notch,-1
Pbx1,1
Prdm16,1
Bptf,-1
Cbfa2t3h,1
Erg,1
Ets1,-1
Ets2,1
Etv6,-1
Fli1,1
Gata1,-1
Gata3,1
Hhex,1
Hoxa5,1
Hoxa9,-1
Hoxb4,-1
Ikzf1,-1
Ldb1,-1
Lmo2,-1
Lyl1,1
Meis1,-1
Mitf,1
Myb,1
Nfe2,-1
Notch,-1
Pbx1,-1
Prdm16,1
Runx1,-1
Tcf7,-1
Bptf,-1
Erg,1
Ets2,1
Gata2,1
Gata3,1
Gfi1b,1
Hoxa5,1
Hoxa9,-1
Hoxb4,1
Ikzf1,-1
Lmo2,-1
Meis1,1
Mitf,1
Nfe2,1
Nkx2.3,1
Notch,-1
Prdm16,1
Tal1,1
Bptf,1
Gata1,1
Gata2,-1
Gata3,-1
Ikzf1,1
Smarcc1,-1
Ets2,1
Ets1,1
Ets2,-1
Etv6,1
Fli1,1
Gata2,-1
Gfi1b,-1
Hhex,-1
Hoxb4,1
Lyl1,1
Meis1,1
Mitf,1
Myb,1
Smarcc1,-1
Bptf,1
Cbfa2t3h,1
Ets1,-1
Ets2,1
Etv6,-1
Fli1,1
Gata1,-1
Gata2,1
Gfi1b,1
Lyl1,1
Meis1,-1
Myb,-1
Nfe2,1
Nkx2.3,1
Notch,-1
Prdm16,1
Smarcc1,1
Tal1,1
Bptf,1
Cbfa2t3h,-1
Erg,1
Ets1,1
Ets2,-1
Etv6,1
Fli1,-1
Gata1,1
Gata2,-1
Gata3,-1
Gfi1b,-1
Hhex,-1
Hoxa5,-1
Hoxa9,1
Hoxb4,1
Ikzf1,1
Lyl1,-1
Mitf,-1
Nkx2.3,-1
Notch,1
Pbx1,-1
Prdm16,-1
Runx1,1
Smarcc1,1
Tal1,-1
Bptf,-1
Cbfa2t3h,1
Ets1,-1
Ets2,1
Etv6,1
Gata2,1
Gata3,1
Hhex,1
Hoxa5,-1
Hoxb4,1
Ikzf1,-1
Lmo2,-1
Lyl1,1
Mitf,1
Myb,-1
Nfe2,1
Notch,-1
Prdm16,1
Runx1,-1
Smarcc1,1
Tal1,1
Cbfa2t3h,-1
Ets1,1
Ets2,-1
Fli1,-1
Gata2,-1
Gata3,-1
Gfi1b,-1
Hhex,-1
Hoxa9,1
Ldb1,1
Lmo2,-1
Mitf,-1
Myb,1
Nkx2.3,-1
Pbx1,-1
Prdm16,-1
Tal1,-1
Tcf7,1
Bptf,-1
Ets1,-1
Ets2,1
Fli1,1
Gata1,-1
Gata2,1
Gfi1b,1
Hoxa9,-1
Lmo2,-1
Meis1,1
Mitf,1
Myb,-1
Nfe2,1
Notch,-1
Prdm16,1
Smarcc1,-1
Cbfa2t3h,1
Ets1,-1
Ets2,1
Etv6,-1
Gata1,-1
Gata2,1
Gfi1b,1
Hhex,1
Hoxa5,1
Hoxa9,-1
Meis1,-1
Mitf,1
Myb,-1
Nkx2.3,1
Notch,-1
Pbx1,1
Runx1,-1
Tal1,1
Tcf7,-1
Ets1,1
Etv6,1
Fli1,-1
Gata1,1
Gata2,-1
Gfi1b,-1
Hhex,-1
Hoxb4,1
Ikzf1,1
Lmo2,-1
Lyl1,-1
Meis1,-1
Mitf,-1
Nfe2,-1
Nkx2.3,1
Notch,1
Prdm16,-1
Smarcc1,1
Tal1,-1
Cbfa2t3h,1
Gata2,1
Gata3,1
Gfi1b,1
Hhex,1
Hoxa5,1
Hoxa9,-1
Ikzf1,-1
Lmo2,1
Myb,-1
Nkx2.3,1
Notch,-1
Prdm16,1
Tcf7,-1
Ets1,1
Lmo2,-1
Notch,1
Prdm16,-1
