"strain"	"G1"	"G2"	"G3"	"G4"	"G5"	"G6"	"G7"	"G8"	"G9"	"G10"
"wt"	0.0662851770830753	1.0	0.05661750129611242	0.4210590714067861	0.9154068144785397	0.11134256445730492	0.40799998382336505	1.0	1.0	1.0
"G1(+/-)"	0.033142586583447854	1.0	0.05661750027715923	0.42105902544420604	0.915406846657071	0.11134251705387194	0.40799999617024346	1.0	1.0	1.0
"G2(+/-)"	0.10009431951376314	0.5	0.14190650582385003	0.5430111245198319	0.8175252606565211	0.47255123428781975	0.3072077285256806	1.0	1.0	1.0
"G3(+/-)"	0.06628515428523174	1.0	0.028308747885072236	0.3403567139088026	0.9732319143996201	0.02689519757057052	0.44741245845001076	1.0	1.0	1.0
"G4(+/-)"	0.06628517316689571	1.0	0.05661750027715923	0.21052951272210302	0.915406846657071	0.11134251705387194	0.40799999617024346	1.0	1.0	1.0
"G5(+/-)"	0.06628517316689571	1.0	0.05661750027715923	0.42105902544420604	0.4577034233285355	0.11134251705387194	0.40799999617024346	1.0	1.0	1.0
"G6(+/-)"	0.06628517316689571	1.0	0.05661750027715923	0.42105902544420604	0.915406846657071	0.05567125852693597	0.40799999617024346	1.0	1.0	1.0
"G7(+/-)"	0.06628517316689571	1.0	0.05661750027715923	0.42105902544420604	0.915406846657071	0.11134251705387194	0.20399999808512173	1.0	1.0	1.0
"G8(+/-)"	0.06628515433044106	1.0	0.05661749577675625	0.4210588051556382	0.9144732768999175	0.11134230368889197	0.4080028549458959	0.5	1.0	1.0
"G9(+/-)"	0.06628515428729666	1.0	0.056617495770383906	0.421575839028055	0.8889940057691039	0.11134230336360322	0.4080000520565084	1.0	0.5	1.0
"G10(+/-)"	0.06628515428535256	1.0	0.05661749577015682	0.42105880466862994	0.9154069975668814	0.1113423033517816	0.43761448769994193	1.0	1.0	0.5
