"strain"	"G1"	"G2"	"G3"	"G4"	"G5"	"G6"	"G7"	"G8"	"G9"	"G10"
"wt"	0.5668249389728646	0.5611375885111285	1.0	0.006625626146706856	0.5999343087972274	1.0	0.5125566654575084	0.5096344692706927	0.9996191231962761	1.0
"G1(+/-)"	0.28341246948643223	0.6040542831937195	1.0	0.029511326599047077	0.49884524542123304	1.0	0.5125601710542225	0.5096343966734769	0.9944778262695608	1.0
"G2(+/-)"	0.5668249389728646	0.2805687942506421	1.0	0.006625625996212521	0.5999343087972294	1.0	0.512556663952991	0.5096344693415275	0.9996191236907712	1.0
"G3(+/-)"	0.6116084810148763	0.5576290020775638	0.5	0.005603394895937798	0.6024274565472306	1.0	0.5125565977361454	0.5096344708874827	0.9997181711226152	1.0
"G4(+/-)"	0.5668249389728646	0.56113758846925	1.0	0.0033128127273612373	0.5999343087972343	1.0	0.5125566574712299	0.5096344696467033	0.9998903637246654	1.0
"G5(+/-)"	0.5668249389728646	0.5611375884694999	1.0	0.0066256254610209285	0.29996715439861715	1.0	0.5125874641815088	0.5096338449195397	0.9996191254949581	1.0
"G6(+/-)"	0.5668249389728646	0.5611375884694392	1.0	0.006626875195809679	0.5999343087972343	0.5	0.5125566575848031	0.5096344696413557	0.999619001033024	1.0
"G7(+/-)"	0.5668249389728646	0.5611375884692426	1.0	0.0066256254544564555	0.5999343087972343	1.0	0.2562783287307243	0.5274841460924155	0.9996191255193735	1.0
"G8(+/-)"	0.5668249389728646	0.5611375885012841	1.0	0.006625625996212521	0.5999343087972294	1.0	0.512556663952991	0.2548172346707637	0.9996191236907712	1.0
"G9(+/-)"	0.5668249389728646	0.5611375885012841	1.0	0.006625625996212521	0.5999343087972294	1.0	0.512556663952991	0.5096344693415275	0.4998095618453856	1.0
"G10(+/-)"	0.5668249389728646	0.5611375884693928	1.0	0.0066256254584749	0.5999343087972343	1.0	0.5126008144192816	0.5096335669646825	0.9996191255042773	0.5
