"strain"	"G1"	"G2"	"G3"	"G4"	"G5"	"G6"	"G7"	"G8"	"G9"	"G10"
"wt"	0.5668249403651769	0.561137588930316	1.0	0.006625627542806183	0.5999343087972104	1.0	0.5125567423485059	0.5096344830109257	0.9996130639162237	1.0
"G1(-/-)"	0.0	0.9999999996348168	1.0	0.4289411924814749	0.3081824144449702	1.0	0.5125853672055118	0.5096338734153868	0.7497516708003108	1.0
"G2(-/-)"	0.5668249400778024	0.0	1.0	0.006625627088807629	0.5999343087972171	1.0	0.5125567267052648	0.5096344804416396	0.9996138753046411	1.0
"G3(-/-)"	0.9999992846715037	0.539539941002715	0.0	0.0018833293966892906	0.7938207141998418	1.0	0.5125538588096504	0.5096345277648792	0.9999599678213172	1.0
"G4(-/-)"	0.5668249389732909	0.5611375884692842	1.0	0.0	0.5999343087972341	1.0	0.5125566575260702	0.509634469654622	0.9999941023953077	1.0
"G5(-/-)"	0.566824938972865	0.5611375884692429	1.0	0.00662562545445124	0.0	1.0	0.9999960223028923	0.5060152727570936	0.9996191251214646	1.0
"G6(-/-)"	0.5668249389728649	0.5611375884692429	1.0	0.30463878419957746	0.5999343087972341	0.0	0.5125566574610894	0.5096344696471812	0.8087084888193217	1.0
"G7(-/-)"	0.5668249389728658	0.5611375884692429	1.0	0.006625625454451944	0.5999343087972341	1.0	0.0	0.9999957041631881	0.999619124430865	1.0
"G8(-/-)"	0.5668249400778024	0.5611375888231087	1.0	0.006625627088807629	0.5999343087972171	1.0	0.5125567267052648	0.0	0.9996138753046411	1.0
"G9(-/-)"	0.5668249400778024	0.5611375888231087	1.0	0.006625627088807629	0.5999343087972171	1.0	0.5125567267052648	0.5096344804416396	0.0	1.0
"G10(-/-)"	0.566824938972865	0.5611375884692429	1.0	0.00662562545445124	0.5999343087972341	1.0	0.9999960223028923	0.5060152727570936	0.9996191251214646	0.0
