"","MeanAUC","DyAcc"
"1",0.99138474054742,0.9905
"2",0.992831021539155,0.9895
"3",0.953986729644624,0.9835
"4",0.982961121632997,0.984
"5",0.907575757575758,0.968
"6",0.988785094048252,0.9895
"7",0.994566801619433,0.9915
"8",0.964392379758921,0.987
"9",0.994957489878542,0.992
"10",0.979908132360286,0.977
"11",0.987053467000835,0.9845
"12",0.989522243107769,0.99
"13",0.963377952014316,0.995
"14",0.988171185539607,0.9855
"15",0.994681685273791,0.994
"16",0.987736842105263,0.982
"17",0.981758488277627,0.9785
"18",0.956363369780435,0.985
"19",0.988368421052632,0.9885
"20",0.960292032163743,0.9825
"21",0.990151515151515,0.9895
"22",0.992669125465178,0.9895
"23",0.984379878568475,0.9835
"24",0.980375044754744,0.9725
"25",0.989247566194398,0.988
"26",0.956892523050817,0.976
"27",0.943614815009552,0.9785
"28",0.960955710955711,0.9925
"29",0.986755724538619,0.986
"30",0.998157894736842,0.9965
"31",0.989185938330675,0.9855
"32",0.983960849092428,0.979
"33",0.992434466118677,0.9885
"34",0.955664516889007,0.9835
"35",0.991421052631579,0.9885
"36",0.990927944862155,0.989
"37",0.994290225125751,0.9935
"38",0.950931818181818,0.983
"39",0.969219696969697,0.9935
"40",0.992327067669173,0.9895
"41",0.989263444158181,0.9865
"42",0.993774741340531,0.991
"43",0.986788999588043,0.9825
"44",0.97866081871345,0.9735
"45",0.946510560146924,0.992
"46",0.955195707070707,0.9875
