96.5,57.8
173,71
79.1,9.39
168,343
181,142
147,50.9
142,13.1
163,403
67.3,20
474,58.3
124,28.1
195,248
138,14.9
289,42.6
188,34.9
121,131
161,43.7
352,1334
133,204
39.6,15.7
165,45.3
191,16.5
149,17.6
81.3,15.7
115,54.7
414,267
150,23.3
385,82
88.2,178
205,50.5
163,205
196,474
54.2,15.8
50.9,16.7
81.3,26.4
85.8,12.4
331,23.7
267,75
204,538
204,379
47.4,15.8
496,53.8
138,334
183,55.2
141,30.2
599,791
61.5,16.3
368,757
119,229
289,27.1
173,257
155,362
141,89.8
396,102
34.3,14.3
204,35.9
139,355
209,372
211,23.5
146,90.6
85.1,16
111,28.9
302,813
126,533
108,368
457,45.7
195,16.1
64.4,22.3
108,124
123,289
86.6,112
213,62.6
90.6,28.4
267,573
392,130
98.2,25.9
186,26.9
112,15.5
123,271
71,16.4
422,30.5
47.8,83.5
217,85.1
717,331
267,866
437,30.8
64.4,12.6
62.1,18.6
184,23.9
48.3,17.5
63.2,21.1
244,28.9
235,372
103,55.2
68.5,257
237,32.5
239,81.3
164,542
599,90.6
107,34.6
38.9,221
129,279
82,302
136,195
193,135
111,12.3
562,828
215,583
229,76.4
198,426
552,85.8
626,62.1
231,28.6
279,66.7
158,30.5
74.3,72.3
207,41
154,48.7
227,211
71,12.5
343,51.9
155,30.8
123,24.1
184,429
594,588
449,46.6
403,13.9
129,168
115,34.3
97.3,221
51.4,3.89
379,221
225,202
284,178
70.4,11.7
158,429
340,65.5
382,723
92.2,22.7
274,426
168,154
195,26.4
68.5,3.55
176,16
181,346
302,184
164,22.9
115,403
85.1,23.5
313,34.9
77.7,22.7
262,32.5
673,505
136,158
63.2,25.3
85.1,13.9
191,31.3
90.6,343
57.3,15.3
68.5,12.6
150,14.9
223,36.5
98.2,331
196,27.6
154,466
124,157
175,457
80.6,13.9
44.9,15.1
165,594
161,195
202,21.7
204,615
184,346
223,389
235,119
538,105
233,158
100,112
172,29.4
227,213
131,19.8
313,81.3
110,108
337,610
179,47.8
255,453
233,30
235,19.6
355,43.3
101,202
352,50.5
75,325
300,349
93.9,20.4
233,20.7
279,21.7
355,500
110,16.7
122,20.9
183,355
71.7,429
108,7.77
334,25.7
113,143
86.6,300
155,26.4
355,53.3
209,349
157,19.8
64.4,308
56.2,184
46.1,15.7
167,621
414,45.3
89.8,13.1
302,106
77.7,12.6
289,67.9
41.4,9.56
294,47.8
101,14.5
227,52.8
143,542
49.6,102
175,121
253,103
474,48.3
103,19.5
135,316
297,32.2
352,103
119,30.8
279,437
137,28.9
59.9,23.1
167,32.5
138,355
139,18.1
221,500
730,41
239,48.7
179,155
172,163
178,547
302,71.7
109,22.9
221,170
274,271
132,119
87.4,322
146,76.4
121,18.4
58.8,17.5
