"Index"	"Gene"
G1	YPL218W
G2	YML049C
G3	YCR067C
G4	YPR181C
G5	YIR011C
G6	YGL054C
G7	YDR299W
G8	YLR262C
G9	YGL223C
G10	YBR080C
G11	YGR120C
G12	YDR189W
G13	YPL085W
G14	YBL050W
G15	YFL038C
G16	YDR166C
G17	YER157W
G18	YGR172C
G19	YKR068C
G20	YDR293C
G21	YKL196C
G22	YNL051W
G23	YNR026C
G24	YLR207W
G25	YPR176C
G26	YDL192W
G27	YMR079W
G28	YGL210W
G29	YFL005W
G30	YER008C
G31	YNR049C
G32	YHR079C
G33	YPR017C
G34	YDL058W
G35	YGL137W
G36	YNL267W
G37	YPL145C
G38	YPL232W
G39	YOR216C
G40	YNL041C
G41	YPR055W
G42	YLR378C
G43	YDR170C
G44	YLR229C
G45	YLR078C
G46	YOL013C
G47	YER087C-B
G48	YDR164C
G49	YOR070C
G50	YHL031C
