,G0,G1,G2,G3,G4,G5,G6,G7,G8,G9,G10,G11,G12,G13,G14,G15,G16,G17,G18,G19
S1,0,7,0,0,0,0,9,0,0,0,0,0,9,0,0,0,0,0,0,11
S2,3,4,9,0,0,0,0,18,8,1,9,0,9,0,2,0,11,0,0,11
S3,4,15,9,0,0,0,0,8,0,0,0,8,19,2,0,6,11,0,0,7
S4,3,9,17,0,9,7,12,9,9,8,1,8,13,20,0,0,11,0,8,11
S5,0,0,0,0,0,0,0,9,5,0,2,5,11,0,0,10,0,0,0,3
S6,0,10,2,0,0,0,4,5,0,0,0,0,16,3,0,0,8,0,0,6
S7,0,0,12,0,0,12,7,9,13,0,0,0,16,0,0,7,6,0,0,7
S8,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0
S9,5,12,8,0,0,0,4,2,14,6,0,5,22,0,0,12,3,0,0,0
S10,8,5,0,0,7,0,0,4,0,0,0,6,15,6,0,0,5,0,7,0
S11,0,10,8,0,4,15,8,11,7,13,0,3,23,0,14,0,8,0,0,7
S12,0,7,11,0,7,6,10,6,0,10,0,7,15,4,12,0,6,0,8,0
S13,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,3
S14,0,7,6,0,0,0,6,9,2,3,11,0,14,0,0,11,6,0,0,6
S15,8,13,0,0,0,0,6,6,0,0,3,2,26,7,0,5,9,0,0,1
S16,4,4,0,0,0,0,10,10,7,0,4,0,12,6,0,10,0,0,0,5
S17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
S18,0,0,0,0,0,0,8,9,9,0,0,0,7,0,0,9,6,0,0,6
S19,7,0,8,0,0,0,0,8,0,0,0,4,15,0,0,9,4,0,0,4
S20,2,9,10,0,4,9,10,6,9,7,0,7,15,7,0,7,12,0,0,0
S21,7,12,6,0,0,0,0,8,7,4,0,8,17,10,0,10,9,0,0,8
S22,3,20,4,0,0,5,6,12,0,1,2,2,23,7,0,0,10,0,0,5
S23,9,0,1,0,1,0,2,10,6,0,7,8,10,0,0,6,6,0,0,7
S24,0,7,8,0,0,0,10,4,0,9,0,16,18,0,4,4,0,0,0,11
S25,5,10,0,0,6,3,0,9,0,0,0,0,14,4,0,8,8,0,1,0
S26,0,11,0,0,0,0,0,7,0,0,0,0,8,0,0,4,7,0,0,0
S27,0,6,0,0,0,0,8,0,0,0,0,5,5,0,0,0,0,0,5,7
S28,2,0,7,0,0,8,8,6,6,0,0,3,6,6,0,0,6,0,0,10
S29,0,0,6,0,0,0,0,7,6,0,0,0,10,0,0,4,0,0,0,5
S30,10,0,0,0,0,0,9,7,0,0,8,6,16,0,4,2,10,0,0,12
