,G0,G1,G2,G3,G4,G5,G6,G7,G8,G9,G10,G11,G12,G13,G14,G15,G16,G17,G18,G19
S1,4,0,9,0,6,6,12,7,9,5,4,7,0,1,0,0,5,0,12,9
S2,0,16,0,0,4,4,0,2,0,8,0,8,0,0,0,0,0,0,5,0
S3,4,0,0,0,0,0,8,0,7,5,0,0,0,0,0,0,0,0,0,0
S4,0,12,8,0,0,4,12,6,7,6,3,3,6,11,0,3,0,0,0,12
S5,10,5,7,0,4,13,3,0,6,0,5,11,9,7,10,0,0,0,10,6
S6,9,6,0,0,6,6,0,0,0,10,0,0,3,0,0,0,0,0,13,0
S7,14,4,13,11,17,8,13,7,11,18,0,17,8,3,0,3,0,1,16,4
S8,0,0,14,0,0,0,8,4,0,0,0,0,0,10,0,0,0,0,14,7
S9,6,29,17,0,1,11,10,12,9,13,14,15,12,36,10,0,20,7,5,20
S10,18,12,27,20,12,22,33,0,0,14,0,7,23,13,0,19,31,0,29,11
S11,10,10,0,0,5,7,6,0,0,20,9,8,6,0,11,0,15,0,8,13
S12,0,10,0,0,0,7,6,0,0,2,0,13,0,0,0,0,6,0,7,0
S13,0,0,0,0,8,0,0,3,0,5,0,0,4,0,0,2,0,0,12,0
S14,3,10,0,0,0,9,0,0,0,7,0,7,0,0,0,0,9,0,4,0
S15,0,14,0,0,3,4,8,5,0,11,0,14,0,0,0,0,7,0,0,0
S16,0,6,0,0,0,4,0,0,0,4,0,0,0,0,0,0,4,0,4,0
S17,4,7,0,5,3,0,6,0,0,7,0,0,6,2,0,0,0,0,7,7
S18,0,4,0,0,5,5,0,0,0,7,0,13,0,0,0,0,5,0,3,0
S19,8,5,3,0,8,0,9,0,0,0,0,0,7,0,2,0,4,0,3,0
S20,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0
S21,10,13,0,0,0,0,0,0,0,0,9,0,0,0,0,0,3,0,0,0
S22,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,2,0
S23,5,7,8,0,0,0,9,2,0,0,0,0,9,9,6,1,0,0,11,3
S24,0,4,0,0,2,6,2,7,0,5,0,0,0,0,0,0,1,0,0,0
S25,0,0,0,0,4,8,7,0,0,0,0,0,7,4,0,0,13,0,8,0
S26,4,9,0,0,7,0,7,0,0,0,0,0,0,0,0,0,0,0,3,0
S27,13,12,10,6,6,0,13,13,11,20,0,6,0,0,5,4,0,3,20,12
S28,16,11,5,6,12,8,6,0,0,11,0,8,11,0,0,12,0,0,14,0
S29,0,2,0,0,0,0,0,0,0,6,0,0,0,0,4,0,3,0,0,2
S30,6,12,0,0,7,0,7,6,5,0,5,8,7,8,0,0,6,0,6,7
S31,9,8,0,0,4,8,5,5,0,13,0,3,11,0,0,0,0,0,9,0
S32,3,0,9,0,3,0,7,0,0,0,0,0,6,3,0,0,8,0,9,0
S33,11,11,0,0,3,3,10,6,0,13,0,13,11,0,0,0,9,0,11,0
S34,11,11,11,0,9,7,19,3,2,8,0,0,16,5,0,6,16,0,12,5
S35,7,10,3,0,0,7,4,3,0,17,0,14,9,0,0,0,5,0,11,0
S36,0,11,0,2,15,13,4,14,4,17,0,16,12,0,0,2,5,0,7,0
S37,7,15,0,4,13,15,6,9,0,7,0,25,9,0,0,0,6,0,7,0
S38,7,0,7,0,0,0,0,0,5,0,1,6,0,8,1,0,0,0,0,4
S39,9,5,13,0,6,13,9,0,9,10,12,4,16,11,6,4,5,0,22,6
S40,5,0,4,0,0,0,0,0,0,0,0,0,4,4,0,0,0,0,6,3
S41,0,7,0,0,0,0,0,0,0,4,0,0,3,0,0,0,7,0,0,0
S42,0,8,0,0,0,6,0,0,0,0,4,0,0,10,0,0,9,0,8,7
S43,6,18,4,0,5,2,12,0,0,8,0,5,10,4,0,4,9,0,5,9
S44,6,3,12,0,4,2,15,0,0,0,3,0,0,6,3,4,9,0,14,0
S45,0,0,0,0,0,0,3,0,0,6,0,0,0,0,0,0,0,0,0,0
S46,6,5,0,0,7,3,9,0,0,12,11,4,6,0,0,0,0,0,0,4
S47,0,13,5,0,0,13,3,0,0,11,0,8,8,0,0,0,7,0,4,9
S48,16,11,28,0,11,14,31,5,7,12,9,11,13,16,12,10,6,0,17,7
S49,8,6,0,0,0,0,5,0,0,4,0,4,5,0,0,0,0,0,6,0
S50,7,0,6,0,8,8,16,0,0,0,0,0,9,0,0,5,5,0,13,2
