,G0,G1,G2,G3,G4,G5,G6,G7,G8,G9,G10,G11,G12,G13,G14,G15,G16,G17,G18,G19
S1,8,0,0,0,0,6,9,9,6,0,8,8,4,10,0,10,13,0,5,7
S2,0,0,0,0,0,0,3,0,0,3,0,0,0,0,0,0,5,0,0,0
S3,6,3,0,5,0,0,10,0,0,0,8,7,0,5,8,0,16,0,0,6
S4,0,0,0,0,0,0,3,2,0,0,0,0,3,0,0,0,5,0,0,0
S5,5,0,0,0,0,0,7,3,0,0,0,0,0,3,0,0,0,0,0,5
S6,4,0,0,0,0,0,10,10,0,0,6,3,3,2,0,3,5,0,0,18
S7,20,7,11,2,0,7,24,21,0,6,0,0,19,7,11,0,22,0,6,12
S8,5,0,0,5,0,4,8,0,0,0,6,6,6,0,5,0,15,0,0,1
S9,6,0,2,6,0,11,14,5,8,4,0,6,12,7,6,8,23,0,5,6
S10,0,0,0,0,7,0,11,8,0,4,0,5,5,0,0,3,5,0,3,10
S11,7,6,0,0,0,0,5,4,0,0,0,0,6,0,0,0,2,0,0,3
S12,14,5,0,0,3,0,0,5,0,0,0,9,0,0,0,2,0,0,0,0
S13,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,7,0,0,0
S14,0,0,0,5,0,11,24,0,0,13,0,14,6,9,9,8,9,0,16,0
S15,4,0,0,0,0,3,2,0,3,0,2,9,6,0,0,0,3,0,0,0
S16,4,0,0,0,0,6,6,3,0,0,0,8,0,0,0,0,5,0,7,0
S17,0,4,0,0,0,6,3,0,0,3,0,0,7,0,6,5,10,0,4,0
S18,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0
S19,7,1,0,0,6,0,0,2,8,12,9,6,7,0,3,0,13,0,6,0
S20,3,3,0,0,0,8,11,0,0,7,0,6,5,0,5,7,16,0,8,6
S21,5,9,14,0,15,5,20,11,9,9,18,26,12,9,12,9,18,0,9,0
S22,24,0,0,0,0,0,10,9,6,0,0,0,0,12,6,6,5,0,0,13
S23,15,10,0,0,14,23,9,11,6,6,7,26,11,12,4,10,18,0,6,0
S24,13,0,0,0,9,3,10,4,0,0,5,10,6,4,0,2,0,0,0,7
S25,11,9,0,0,9,5,10,8,4,0,7,0,6,4,0,8,6,0,4,22
S26,0,0,0,0,0,6,5,0,0,0,0,0,0,5,0,0,11,0,0,0
S27,5,5,0,0,0,0,4,13,0,0,0,0,14,0,9,0,14,0,0,11
S28,2,0,0,0,4,0,7,0,0,0,0,8,0,0,0,0,5,0,0,0
S29,5,0,0,0,6,0,0,0,0,0,2,7,0,0,0,0,3,0,0,0
S30,16,17,13,4,0,20,25,31,4,5,0,0,15,11,19,6,21,0,9,4
S31,8,8,0,5,0,12,4,0,3,0,10,9,1,8,9,0,14,0,0,13
S32,3,0,0,10,0,6,4,2,0,0,0,5,5,5,10,0,14,0,0,0
S33,0,0,0,0,0,3,0,0,0,2,0,0,0,0,0,0,0,0,0,0
S34,12,13,4,0,7,3,13,4,5,5,4,8,9,6,0,4,21,0,10,6
S35,6,11,0,2,17,7,16,0,2,10,0,7,8,17,19,8,19,0,6,0
S36,8,0,0,0,0,0,7,8,0,0,0,0,4,0,6,0,11,0,3,1
S37,6,6,0,0,6,0,2,9,4,0,0,0,0,0,3,0,12,0,0,2
S38,8,6,0,4,8,5,23,0,5,7,0,8,4,10,15,2,13,0,7,0
S39,7,0,0,0,6,0,0,5,0,0,0,4,0,0,0,0,5,1,0,2
S40,11,10,6,6,0,4,20,15,8,10,0,3,6,13,15,7,29,0,0,0
S41,0,0,0,0,2,0,8,0,0,0,0,4,0,6,5,0,4,0,6,0
S42,0,0,0,0,0,6,0,0,0,0,0,0,0,5,0,0,10,0,0,0
S43,6,11,0,17,0,18,12,6,0,9,0,9,12,9,5,6,16,0,11,9
S44,6,0,0,0,0,0,9,0,0,0,0,0,8,0,0,0,4,0,0,4
S45,14,0,0,0,4,0,11,8,0,0,3,5,9,6,2,7,8,0,3,14
S46,9,0,0,0,8,0,5,9,2,0,0,0,0,3,0,4,4,0,0,11
S47,9,7,1,0,6,0,7,0,8,10,0,16,4,6,8,2,6,0,0,0
S48,10,0,0,0,0,0,8,6,0,0,0,0,0,6,0,4,0,0,0,14
S49,4,3,0,0,9,0,0,0,0,8,4,9,5,0,5,0,6,0,0,0
S50,9,0,0,0,15,0,6,16,1,0,4,16,5,0,0,3,3,0,6,4
S51,5,7,0,0,0,0,5,0,0,0,3,6,0,7,2,0,10,0,4,3
S52,13,13,6,0,0,11,9,0,0,9,4,6,0,8,9,3,20,0,0,0
S53,8,6,10,0,9,2,12,7,9,13,8,13,10,13,14,8,20,0,0,1
S54,28,13,0,0,30,12,23,15,10,7,9,23,12,8,3,10,7,0,14,20
S55,0,0,0,4,5,0,7,0,0,0,0,0,0,7,4,0,4,0,0,0
S56,9,7,0,0,13,0,4,2,2,3,0,5,5,0,2,2,8,0,0,0
S57,10,0,0,0,0,0,9,9,0,0,0,0,9,0,4,0,13,0,0,8
S58,5,7,6,0,11,4,5,13,0,4,5,9,8,0,0,6,10,0,2,0
S59,10,0,0,0,0,0,0,0,4,0,0,5,0,3,5,0,9,0,0,0
S60,10,4,3,0,10,5,8,16,5,0,6,4,7,0,0,0,20,0,0,15
