,G0,G1,G2,G3,G4,G5,G6,G7,G8,G9,G10,G11,G12,G13,G14,G15,G16,G17,G18,G19
S1,4,0,0,0,0,0,5,7,7,4,8,8,10,15,5,3,11,0,6,7
S2,5,0,0,0,0,0,0,0,0,0,0,3,0,8,0,0,0,0,0,0
S3,0,4,0,0,0,5,8,5,12,0,0,3,7,6,0,0,13,0,3,0
S4,0,0,0,0,0,3,0,8,6,6,6,11,10,6,0,0,2,0,7,7
S5,0,0,0,0,0,0,0,2,0,0,5,9,0,6,0,0,0,0,0,0
S6,12,18,11,0,16,12,29,0,28,14,0,29,8,23,0,10,35,0,11,11
S7,6,10,7,0,7,0,18,8,14,5,12,14,6,29,11,14,19,2,9,5
S8,0,0,0,0,0,0,5,0,4,0,0,3,8,7,8,5,8,0,8,0
S9,7,0,3,0,5,0,0,10,5,7,9,15,5,17,6,0,18,0,8,4
S10,0,0,0,0,0,0,0,0,0,0,0,5,8,9,0,0,8,0,0,0
S11,2,0,0,0,0,0,0,7,0,0,0,7,0,7,0,0,4,0,0,0
S12,5,0,0,0,0,0,0,3,0,0,0,7,3,5,0,0,0,0,0,0
S13,0,0,1,0,0,0,4,0,0,0,0,6,5,5,0,0,8,0,0,4
S14,0,3,0,0,0,0,0,0,7,0,0,12,10,5,5,3,10,0,0,0
S15,5,0,0,0,0,0,0,6,0,0,0,9,4,11,0,0,4,0,0,0
S16,0,5,4,0,0,0,9,4,0,0,0,6,8,13,0,5,8,0,0,0
S17,0,0,0,0,0,0,5,0,0,0,0,5,9,8,0,0,6,0,2,0
S18,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,4,0,0,0
S19,0,3,7,0,0,0,3,0,1,0,0,3,0,2,0,0,12,0,0,0
S20,8,0,6,0,5,0,6,0,8,6,3,20,14,19,0,0,15,0,7,3
S21,0,7,6,0,3,0,11,0,6,0,0,4,16,11,6,12,8,0,0,7
S22,0,3,0,0,0,0,0,0,0,0,0,0,3,5,6,0,4,0,0,0
S23,0,12,0,0,0,10,6,0,13,0,7,10,17,8,8,0,17,0,10,4
S24,3,6,0,0,0,11,1,14,7,6,6,13,11,9,0,0,4,0,0,8
S25,0,0,0,0,0,0,10,0,7,0,0,5,15,0,1,2,5,0,4,3
S26,5,0,0,0,0,3,7,0,6,6,0,3,3,0,4,1,0,0,8,10
S27,0,0,0,0,5,0,7,0,6,0,11,18,14,9,2,4,9,0,5,0
S28,6,13,0,0,19,0,0,9,12,10,0,17,7,7,0,2,23,0,10,0
S29,5,0,3,0,8,2,5,0,8,2,2,15,4,18,0,0,8,0,0,4
S30,4,9,8,0,9,0,0,0,4,5,0,6,0,12,3,6,14,0,0,0
S31,6,0,3,0,5,0,0,0,0,0,0,17,5,11,3,0,6,0,0,2
S32,17,5,14,0,0,8,19,10,19,11,16,25,17,35,8,3,28,0,16,10
S33,0,0,0,0,5,0,0,3,0,0,0,8,5,8,0,0,4,0,0,0
S34,0,0,0,0,0,0,0,0,0,0,0,5,9,5,0,4,0,0,0,0
S35,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,8,0,0,0,0
S36,14,13,0,0,8,0,0,5,17,4,0,13,13,7,0,7,13,6,10,0
S37,0,6,0,0,0,0,9,8,8,0,4,8,6,11,0,0,16,0,9,4
S38,3,3,0,5,0,0,7,0,5,0,0,6,15,7,4,4,11,0,3,4
S39,0,0,8,0,0,0,0,0,2,0,0,0,7,9,8,0,5,0,1,0
S40,9,9,0,0,5,0,5,3,11,4,0,4,8,13,0,3,7,0,7,0
