"Index"	"Gene"
G1	YGL172W
G2	YJL041W
G3	YPL212C
G4	YKL205W
G5	YER168C
G6	YGR119C
G7	YNR034W
G8	YPR080W
G9	YBR118W
G10	YAL003W
G11	YNL075W
G12	YGL105W
G13	YGR211W
G14	YGL245W
G15	YLR216C
G16	YMR283C
G17	YGR264C
G18	YPL237W
G19	YDR047W
G20	YPR041W
G21	YER025W
G22	YOR260W
G23	YKR026C
G24	YJR007W
G25	YDR283C
G26	YEL009C
G27	YLR291C
G28	YNL244C
G29	YMR309C
G30	YML116W
G31	YGR083C
G32	YDR037W
G33	YJL125C
G34	YDR211W
G35	YNL292W
G36	YFR009W
G37	YNL062C
G38	YDL051W
G39	YGL195W
G40	YLR167W
G41	YGR074W
G42	YJL189W
G43	snR19
G44	snR14
G45	YER146W
G46	YOR298C-A
G47	YDR085C
G48	YJR022W
G49	YKL104C
G50	YNL147W
