"Index"	"Gene"
G1	YGL226C-A
G2	YGL022W
G3	YOR085W
G4	YPL227C
G5	YJL002C
G6	YOR002W
G7	YEL002C
G8	YGR227W
G9	YMR149W
G10	YOR103C
G11	YOR067C
G12	YFL036W
G13	YGL027C
G14	YMR214W
G15	YCR044C
G16	YPR159W
G17	YJL174W
G18	YGL200C
G19	YJL034W
G20	YGR166W
G21	YKL073W
G22	YOR336W
G23	YHR102W
G24	YOL031C
G25	YGL084C
G26	YBR229C
G27	YOR254C
G28	YHR030C
G29	YJL095W
G30	YMR307W
G31	YDL006W
G32	YDR388W
G33	YNL322C
G34	YLR087C
G35	YDL029W
G36	YBR015C
G37	YGR229C
G38	YOR326W
G39	YDR126W
G40	YAL058W
G41	YNL171C
G42	YJL073W
G43	YBR200W
G44	YJL099W
G45	YBR260C
G46	YNL161W
G47	YML115C
G48	YLL021W
G49	YAL053W
G50	YLR337C
