	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21
G1	0.718957518972927	0.669686134583621	0.632048490360867	0.603313475775254	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
G2	0.0	0.0	0.0	0.0	0.0	0.143666414079832	0.14525348313763	0.146519549080489	0.147529741758641	0.148335784114356	0.148978847404052	0.149491761287703	0.149900735946663	0.150226712848421	0.15048643052119	0.150693269589849	0.15085792533295	0.150988944442142	0.1510931542076	0.15117600609003	0.151241850932195
G3	0.914054745118648	0.855610549038623	0.810318934878277	0.77529904623372	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
G4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.397188095886667	0.409055982635549	0.419447825917198	0.428425819816352	0.436094895312967	0.442583031999009	0.448026927976452	0.452562206573728	0.456317190436857	0.459409330907751	0.461943522310266	0.464011692058394	0.465693207332421	0.467055765238451
G5	0.619194292243963	0.57787715969989	0.546245295762196	0.522023130783839	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
G6	0.0	0.0	0.0	0.0	0.93163785728425	0.946475403158137	0.958092558932856	0.967188288741625	0.974309851356198	0.979885726405928	0.984251395045362	0.987669524486812	0.990345771779834	0.992441157485989	0.994081753730218	0.995366269525412	0.996371989752985	0.997159425127415	0.997775952917057	0.99825866747084	0.998636612083401
G7	0.614258029258471	0.595852019404945	0.581768613351469	0.5709922817537	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
G8	0.494143077486187	0.338104093904897	0.237166908024124	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
G9	0.0	0.0	0.0	0.0	0.397405083791383	0.423615130627229	0.444276698522309	0.46056435997508	0.473404039545698	0.483525650000669	0.491504587187411	0.497794439825185	0.50275277515928	0.506661465998123	0.509742714674843	0.51217168485785	0.514086459300998	0.515595889610719	0.516785784273971	0.517723786724719	0.518463220803257
G10	0.945985301801394	0.861970889280265	0.793242117399914	0.737070735532111	0.691198489022267	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
G11	0.908134818963932	0.782443288146959	0.676040346977926	0.585993171583237	0.509802291521837	0.445343963061402	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
G12	0.26198865324622	0.221017045637563	0.188136573752527	0.161832195585139	0.140833605317082	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
G13	0.0	0.0	0.0	0.0	0.907272532748932	0.922265465891202	0.933342540108564	0.941531481572897	0.947590591513423	0.952078660386151	0.955407203788039	0.957879236341784	0.959717932280594	0.961087750393785	0.962109976014806	0.962874142638016	0.963446420553176	0.963875776815612	0.9641984993724	0.964441521199726	0.964624864389985
G14	0.0	0.0	0.0	0.0	0.799685916162148	0.847483529218644	0.883875983217513	0.911584703651177	0.932681747761006	0.948744750467251	0.960974902436407	0.970286773938374	0.977376706355541	0.982774884555122	0.986884984089208	0.990014358035758	0.99239702084986	0.994211147956057	0.995592399700207	0.996644066025355	0.997444790580846
