"","MeanAUC","DyAcc"
"1",0.517012227538543,0.608
"2",0.527113237639553,0.624
"3",0.496315789473684,0.6035
"4",0.53125,0.602
"5",0.5,0.63
"6",0.528708133971292,0.645
"7",0.552105263157895,0.5965
"8",0.497314715359828,0.5795
"9",0.526842105263158,0.58
"10",0.552631578947368,0.6255
"11",0.537894736842105,0.612
"12",0.528421052631579,0.6185
"13",0.5,0.583
"14",0.536150983519405,0.5955
"15",0.523684210526316,0.5725
"16",0.544736842105263,0.6105
"17",0.533492822966507,0.6235
"18",0.496278575225944,0.597
"19",0.522368421052632,0.558
"20",0.497368421052632,0.55
"21",0.545454545454545,0.5745
"22",0.526842105263158,0.6445
"23",0.522594364699628,0.5995
"24",0.5343716433942,0.5955
"25",0.531954887218045,0.5775
"26",0.497341839447103,0.6075
"27",0.495789473684211,0.579
"28",0.5,0.6
"29",0.531315789473684,0.628
"30",0.533157894736842,0.6035
"31",0.53578947368421,0.596
"32",0.540263157894737,0.5905
"33",0.538277511961722,0.582
"34",0.5,0.6005
"35",0.528421052631579,0.5955
"36",0.522368421052632,0.574
"37",0.528421052631579,0.5745
"38",0.5,0.63
"39",0.5,0.609
"40",0.523684210526316,0.6245
"41",0.53578947368421,0.609
"42",0.542631578947368,0.634
"43",0.527113237639553,0.6095
"44",0.542105263157895,0.61
"45",0.5,0.6485
"46",0.5,0.6
