"","MeanAUC","DyAcc"
"1",0.666666666666667,0.846
"2",0.692803437164339,0.822
"3",0.759149148381157,0.783
"4",0.673469387755102,0.828
"5",0.680856445142159,0.822
"6",0.772944632730817,0.838
"7",0.73469387755102,0.84
"8",0.724343325847085,0.86
"9",0.683673469387755,0.882
"10",0.796250609161793,0.786
"11",0.678609789780574,0.898
"12",0.774489795918367,0.802
"13",0.754818594104308,0.894
"14",0.765955687830688,0.741
"15",0.751275510204082,0.868
"16",0.641783029001074,0.87
"17",0.700371057513915,0.761
"18",0.754081632653061,0.769
"19",0.672395833333333,0.798
"20",0.71969696969697,0.767
"21",0.714285714285714,0.743
"22",0.764437689969605,0.811
"23",0.702127659574468,0.758
