"strain"	"G1"	"G2"	"G3"	"G4"	"G5"	"G6"	"G7"	"G8"	"G9"	"G10"
"wt"	0.7125640106605229	0.8710442132512732	0.03337788583050538	0.06730750636673956	0.9970811757609156	0.9997112220742758	1.0	0.4370585849518185	0.43349958488051143	0.03539428998766717
"G1(-/-)"	0.0	0.8710443976114531	0.0333778856521439	0.06730745674189056	0.9970812594727143	0.9997112790161432	1.0	0.4370586981711703	0.4334995558469982	0.03539429000328363
"G2(-/-)"	0.7640070781897682	0.0	0.033377885050033904	0.06730723684704108	0.9970815866484188	0.9997114850121772	1.0	0.4370591482717214	0.43349944121295836	0.03539429005886556
"G3(-/-)"	0.7126567798026411	0.8853926591976595	0.0	0.06713060481858493	0.9970815866243439	0.9997114850046511	1.0	0.43705914823806735	0.4336391570204476	0.03539429005886369
"G4(-/-)"	0.7368600243722294	0.8710451349525142	0.03337788505003582	0.0	0.9970815866438675	0.9997114850108445	1.0	0.437059148265403	0.4464432636977672	0.035394290058865234
"G5(-/-)"	0.6682274518104183	0.6511249001848306	0.03337788505003238	0.1063377062236942	0.0	0.999711485013345	1.0	0.43705914827775105	0.3759216436719216	0.035394290058865845
"G6(-/-)"	0.27354144036002287	0.4888178854579811	0.9999936386029601	0.6935169742429028	0.03595580928675222	0.0	1.0	0.24130308032627018	0.6522329881783964	0.034505576296718694
"G7(-/-)"	0.3605406058134207	0.8145533620819081	0.03337382345210785	0.23555622016616543	0.9462421706613616	0.1148516350832469	0.0	0.40680787285985304	0.2369643595314969	0.07412162622668662
"G8(-/-)"	0.7369905381071088	0.6643803048039791	0.03337788505003233	3.075143683493703E-4	0.9970815866530587	0.9997114850133934	1.0	0.0	0.4464433632424271	0.03539429005886585
"G9(-/-)"	0.7125640031828947	0.8710443976114531	0.0333778856521439	0.06730745674189056	0.9970812594727143	0.9997112790161432	1.0	0.4370586981711703	0.0	0.03539429000328363
"G10(-/-)"	0.7329706875664765	0.9805946187182432	0.03337788505003233	0.032567314952397855	0.999993163878055	0.9997114850133921	1.0	0.26929327510917483	0.4458839993898174	0.0
