"strain"	"G1"	"G2"	"G3"	"G4"	"G5"	"G6"	"G7"	"G8"	"G9"	"G10"
"wt"	0.06628521890935485	1.0	0.056617515393245756	0.4210594126259478	0.9154064276050632	0.11134275399507079	0.407998935828279	1.0	1.0	1.0
"G1(+/-)"	0.03314260390430474	1.0	0.05661751177540392	0.4210593084542897	0.9154065267647997	0.1113426723222929	0.40799911890626017	1.0	1.0	1.0
"G2(+/-)"	0.10009429393088921	0.5	0.14190647875162443	0.5430108682531182	0.8175254350020562	0.47255115615267484	0.3072091585898847	1.0	1.0	1.0
"G3(+/-)"	0.06628515428552331	1.0	0.02830874788509092	0.3403571444224106	0.9732315629554695	0.02689524465972776	0.4474110609650163	1.0	1.0	1.0
"G4(+/-)"	0.06628520780860948	1.0	0.05661751177540392	0.21052965422714484	0.9154065267647997	0.1113426723222929	0.40799911890626017	1.0	1.0	1.0
"G5(+/-)"	0.06628520780860948	1.0	0.05661751177540392	0.4210593084542897	0.45770326338239986	0.1113426723222929	0.40799911890626017	1.0	1.0	1.0
"G6(+/-)"	0.06628520780860948	1.0	0.05661751177540392	0.4210593084542897	0.9154065267647997	0.05567133616114645	0.40799911890626017	1.0	1.0	1.0
"G7(+/-)"	0.06628520780860948	1.0	0.05661751177540392	0.4210593084542897	0.9154065267647997	0.1113426723222929	0.20399955945313009	1.0	1.0	1.0
"G8(+/-)"	0.06628515441368148	1.0	0.056617495793669995	0.42105880581295924	0.9144758590964315	0.111342303939453	0.40800282913771235	0.5	1.0	1.0
"G9(+/-)"	0.06628515429137692	1.0	0.05661749577103246	0.4215757945414658	0.8889968540537779	0.11134230337345039	0.40800005191832084	1.0	0.5	1.0
"G10(+/-)"	0.06628515428586576	1.0	0.05661749577022572	0.42105880467227064	0.9154069975635454	0.11134230335284052	0.4376126538246755	1.0	1.0	0.5
