"strain"	"G1"	"G2"	"G3"	"G4"	"G5"	"G6"	"G7"	"G8"	"G9"	"G10"
"wt"	0.152739290947204	0.9986484457397186	0.013329877718795659	0.9657100857381116	0.055544722510584635	1.0	1.0	0.5450772120473827	0.0795419573417413	0.9999985850513411
"G1(+/-)"	0.07636963848536149	0.9986484690279973	0.013329875095570489	0.9657101955925116	0.05554467879382379	1.0	1.0	0.5450772111645658	0.07954195413562483	0.9999985850745273
"G2(+/-)"	0.25211331356392574	0.4993242926526329	0.01332986422842864	0.965710687744791	0.055544474456016985	1.0	1.0	0.5450772075751286	0.07954194090607919	0.9999985851923329
"G3(+/-)"	0.15267159651088433	0.9995260077489975	0.0066649321142097685	0.9856071315156429	0.0453056417437883	1.0	1.0	0.5450772075751261	0.0795418895609524	0.9999997386375921
"G4(+/-)"	0.14788419350489213	0.9986485852839427	0.013329864228889893	0.48285534385444984	0.05554447447861419	1.0	1.0	0.545077207575258	0.07954194090659472	0.9999985851923094
"G5(+/-)"	0.15264786294003374	0.9986485846279568	0.013329864253611927	0.9657106861098301	0.027772237656423965	1.0	1.0	0.5450772075826386	0.07954194093543156	0.9999985851916006
"G6(+/-)"	0.1526578343129073	0.9986485844902256	0.013329864259722409	0.9657106857360175	0.05554447549941391	0.5	1.0	0.5450772075844945	0.0795419409426326	0.9999985851914532
"G7(+/-)"	0.16613218445303155	0.9934321468750641	0.024168780331519042	0.9292739795677627	0.10707697943778319	1.0	0.5	0.5564474287037573	0.10364331080818434	0.999946705938459
"G8(+/-)"	0.1547979777407133	0.9986485853069437	0.013329864228401569	0.9657106877470956	0.09994240526691726	1.0	1.0	0.2725386037875607	0.07954268641893737	0.9999985851923348
"G9(+/-)"	0.15273927697072298	0.9986484690279973	0.013329875095570489	0.9657101955925116	0.05554467879382385	1.0	1.0	0.5450772111645658	0.039770977067812414	0.9999985850745273
"G10(+/-)"	0.15273922012773178	0.9986485853072021	0.01332986422839775	0.9657106877474294	0.05554447445492185	1.0	1.0	0.5450772075751202	0.14655670816528094	0.4999992925961675
