"strain"	"G1"	"G2"	"G3"	"G4"	"G5"	"G6"	"G7"	"G8"	"G9"	"G10"
"wt"	0.7125639755023454	0.8710449075552843	0.03337788508761124	0.06730722235317947	0.9970814437419624	0.9997114501580769	1.0	0.4370591164151645	0.43349946360648867	0.03539429001158693
"G1(+/-)"	0.3562819840733725	0.8710449535590383	0.033377885078628225	0.06730722543280923	0.9970814728589767	0.9997114577891446	1.0	0.437059123201289	0.43349945884829794	0.03539429002195488
"G2(+/-)"	0.7136041185811692	0.4355225674093682	0.03337788505003882	0.06730723682663553	0.9970815865555926	0.9997114850005635	1.0	0.43705914826333797	0.43349944122219347	0.03539429005884859
"G3(+/-)"	0.7126465133924239	0.8810903913455755	0.016688942525016452	0.06714440716533376	0.9970815866405169	0.9997114850120061	1.0	0.4370591482763759	0.4336282063078932	0.03539429005886401
"G4(+/-)"	0.7326516096294733	0.8710451349681774	0.03337788505003245	0.033653618416570934	0.9970815866490447	0.9997114850129908	1.0	0.437059148277559	0.44579723086640266	0.035394290058865324
"G5(+/-)"	0.7121075236556936	0.8348998975192757	0.03337788505003245	0.06783922166360365	0.49854079332452234	0.9997114850129908	1.0	0.437059148277559	0.4330699145518401	0.035394290058865324
"G6(+/-)"	0.6874448800608075	0.8673020193470287	0.03349982069486578	0.06485189660690645	0.9970940101895139	0.49985574250668896	1.0	0.421271918294441	0.4353612754093383	0.03510530321854072
"G7(+/-)"	0.6619352308201094	0.8510444567734	0.03337791247469625	0.11086286437150016	0.9914065314166842	0.9982664170003029	0.5	0.4656086549284713	0.366780657804578	0.047806104640348575
"G8(+/-)"	0.7349149953130226	0.7760944658457088	0.03337788505003232	0.02519483670326203	0.9970815866530459	0.9997114850133934	1.0	0.21852957413903265	0.44626253450834036	0.03539429005886585
"G9(+/-)"	0.712563968146745	0.8710449535590383	0.033377885078628225	0.06730722543280923	0.9970814728589767	0.9997114577891446	1.0	0.437059123201289	0.21674972942414897	0.03539429002195488
"G10(+/-)"	0.724360769446051	0.9645370798344693	0.03337788505003232	0.0514452237122767	0.9997552828396549	0.9997114850133926	1.0	0.37059930288028037	0.44231653867419823	0.017697145029432926
