TF	Target	EdgeWeight
G1	G0	0.05295815318822861
G1	G2	0.052949946373701096
G1	G16	0.052949659526348114
G1	G6	0.052941154688596725
G17	G9	0.052940890192985535
G17	G19	0.052935123443603516
G1	G15	0.05293489247560501
G14	G13	0.05293174833059311
G17	G14	0.05293121933937073
G14	G6	0.05292204022407532
G1	G5	0.05291829630732536
G17	G4	0.05291273444890976
G1	G19	0.052912451326847076
G1	G13	0.05291150137782097
G17	G8	0.05290580913424492
G14	G19	0.052905499935150146
G17	G11	0.05290544405579567
G1	G14	0.05289784446358681
G17	G10	0.05289343744516373
G14	G1	0.052892085164785385
G17	G7	0.052886929363012314
G14	G3	0.05288493260741234
G17	G5	0.05288177356123924
G14	G0	0.05287541076540947
G1	G11	0.05287519842386246
G14	G15	0.05287430062890053
G14	G16	0.052870940417051315
G14	G17	0.052868202328681946
G14	G4	0.05286170914769173
G14	G11	0.05285673961043358
G14	G18	0.05285099893808365
G17	G16	0.05284246429800987
G1	G17	0.05284099280834198
G17	G2	0.052840910851955414
G1	G8	0.052837271243333817
G14	G9	0.052835866808891296
G1	G18	0.05283057689666748
G1	G9	0.05282754451036453
G17	G6	0.05282648652791977
G1	G4	0.05282341316342354
G14	G8	0.052819475531578064
G1	G7	0.05281653627753258
G14	G12	0.05281392112374306
G17	G1	0.05280430614948273
G1	G12	0.052797067910432816
G17	G0	0.0527968667447567
G17	G18	0.05278338864445686
G14	G7	0.05278170108795166
G1	G3	0.05277350917458534
G1	G10	0.05277244746685028
G17	G13	0.052771054208278656
G14	G2	0.05277034640312195
G17	G3	0.052755799144506454
G17	G15	0.05275389924645424
G14	G10	0.0527530200779438
G17	G12	0.0527481846511364
G14	G5	0.05273885279893875
