TF	Target	EdgeWeight
G1	G67	0.010679536499083042
G74	G12	0.010679432190954685
G1	G20	0.01067719142884016
G74	G6	0.010676323436200619
G1	G12	0.010676281526684761
G74	G69	0.010674891993403435
G1	G22	0.010673840530216694
G1	G42	0.010672646574676037
G74	G37	0.010672183707356453
G1	G73	0.01067199558019638
G1	G62	0.010668224655091763
G74	G70	0.010668084025382996
G74	G8	0.01066647469997406
G1	G70	0.010665042325854301
G74	G50	0.010665024630725384
G67	G71	0.01066350843757391
G44	G0	0.010663320310413837
G17	G90	0.010662920773029327
G44	G20	0.010662773624062538
G74	G23	0.010662447661161423
G74	G98	0.010658925399184227
G67	G25	0.010658418759703636
G67	G75	0.010657682083547115
G93	G29	0.010657145641744137
G67	G37	0.010656477883458138
G44	G14	0.010655910708010197
G44	G15	0.01065573375672102
G17	G62	0.010654924437403679
G44	G75	0.010654779151082039
G44	G62	0.010654582642018795
G17	G81	0.010654265061020851
G1	G3	0.010653529316186905
G1	G90	0.010653133504092693
G44	G7	0.010651742108166218
G44	G16	0.010651121847331524
G74	G40	0.010650609619915485
G1	G82	0.01065047550946474
G67	G76	0.010650154203176498
G67	G6	0.010649912059307098
G1	G45	0.01064882893115282
G1	G77	0.010648208670318127
G93	G95	0.01064796932041645
G74	G67	0.010647669434547424
G44	G10	0.010646947659552097
G1	G88	0.010646374896168709
G17	G69	0.010646205395460129
G17	G32	0.010645927861332893
G1	G18	0.010644465684890747
G17	G15	0.010643825866281986
G1	G17	0.010643544606864452
G17	G54	0.010642971843481064
G1	G83	0.010642927139997482
G17	G44	0.010641738772392273
G17	G57	0.010641675442457199
G1	G75	0.010641412809491158
G74	G21	0.010640481486916542
G17	G84	0.010640226304531097
G17	G51	0.010640155524015427
G17	G53	0.010639174841344357
G74	G75	0.010639164596796036
G1	G99	0.010638754814863205
G1	G95	0.010638711974024773
G67	G4	0.010637994855642319
G44	G42	0.010637650266289711
G17	G71	0.010636665858328342
G17	G49	0.010635449551045895
G67	G95	0.010635224170982838
G93	G1	0.010634963400661945
G44	G18	0.010634882375597954
G93	G46	0.010634777136147022
G93	G39	0.01063473429530859
G17	G46	0.01063450239598751
G44	G33	0.010633967816829681
G1	G55	0.010633285157382488
G17	G82	0.010633042082190514
G74	G78	0.010633033700287342
G93	G10	0.010632306337356567
G74	G25	0.01063187513500452
G56	G75	0.010631647892296314
G1	G87	0.01063096895813942
G1	G46	0.01063082367181778
G44	G50	0.010630639269948006
G1	G72	0.010630492120981216
G93	G58	0.010630466975271702
G56	G46	0.010630344972014427
G93	G62	0.010630130767822266
G44	G85	0.01062989141792059
G1	G86	0.01062932051718235
G93	G56	0.010629288852214813
G74	G76	0.010629095137119293
G1	G26	0.010628893971443176
G1	G19	0.010628767311573029
G17	G25	0.010627704672515392
G1	G41	0.01062727440148592
G93	G96	0.010626845993101597
G74	G0	0.010626738891005516
G74	G88	0.010626358911395073
G67	G80	0.010626018047332764
G1	G29	0.010625818744301796
G67	G58	0.010625731199979782
G1	G53	0.01062561571598053
G56	G23	0.010625564493238926
G93	G3	0.010625334456562996
G44	G63	0.010625222697854042
G1	G35	0.010625200346112251
G44	G22	0.010624630376696587
G74	G53	0.010624626651406288
G67	G84	0.010624498128890991
G74	G32	0.010623488575220108
G1	G57	0.010622971691191196
G44	G77	0.010622695088386536
G1	G31	0.010621932335197926
G56	G37	0.010621301829814911
G1	G68	0.010621219873428345
G1	G96	0.010621001943945885
G44	G27	0.010620973072946072
G17	G95	0.01062095444649458
G56	G4	0.010620922781527042
G17	G80	0.010620499961078167
G44	G2	0.010620205663144588
G67	G45	0.010620136745274067
G93	G69	0.010619775392115116
G67	G42	0.010618959553539753
G93	G26	0.010617929510772228
G17	G63	0.01061788946390152
G14	G93	0.010617818683385849
G56	G80	0.010617736726999283
G17	G9	0.010617581196129322
G93	G19	0.010617480613291264
G67	G91	0.010617101565003395
G44	G56	0.010616698302328587
G56	G97	0.010616675950586796
G56	G8	0.010616391897201538
G17	G96	0.010615437291562557
G44	G61	0.010615192353725433
G74	G30	0.01061510480940342
