TF	Target	EdgeWeight
G14	G17	0.053143639117479324
G14	G19	0.053138915449380875
G14	G10	0.05313650891184807
G17	G10	0.05313081666827202
G1	G4	0.05312279239296913
G1	G0	0.053116325289011
G17	G8	0.053115006536245346
G1	G14	0.05311383679509163
G17	G16	0.05310633406043053
G1	G7	0.05310622602701187
G1	G2	0.05310098081827164
G17	G0	0.05309954285621643
G17	G13	0.05309947580099106
G1	G13	0.05309906229376793
G14	G5	0.05309787392616272
G1	G5	0.05309655889868736
G1	G19	0.05309506878256798
G1	G10	0.053094688802957535
G14	G13	0.05309233441948891
G14	G7	0.053087491542100906
G14	G2	0.05308069288730621
G17	G15	0.05307372659444809
G14	G12	0.05307020992040634
G17	G2	0.053066886961460114
G14	G4	0.05305350199341774
G17	G12	0.05304841697216034
G1	G3	0.05304607003927231
G17	G14	0.05304433032870293
G1	G15	0.05304335802793503
G1	G11	0.053035929799079895
G14	G6	0.05303467810153961
G17	G3	0.05303281545639038
G17	G11	0.0530298613011837
G1	G18	0.053027112036943436
G14	G18	0.053026456385850906
G17	G5	0.053019437938928604
G17	G6	0.053008709102869034
G17	G18	0.053002115339040756
G17	G19	0.053001243621110916
G14	G11	0.052998851984739304
G14	G3	0.05299275368452072
G14	G8	0.05299093574285507
G14	G1	0.05299047753214836
G14	G9	0.0529894195497036
G1	G12	0.05298937112092972
G14	G15	0.052987921983003616
G14	G16	0.052985358983278275
G1	G9	0.05297808721661568
G17	G4	0.052978068590164185
G1	G16	0.05297738313674927
G14	G0	0.05296684801578522
G17	G1	0.05296044424176216
G1	G8	0.052957333624362946
G17	G9	0.05295148864388466
G1	G6	0.05295146256685257
G1	G17	0.05295083671808243
G17	G7	0.052947331219911575
