TF	Target	EdgeWeight
G14	G1	0.052982110530138016
G17	G14	0.05298143997788429
G14	G13	0.05298078432679176
G1	G8	0.05295885354280472
G14	G5	0.05295785516500473
G17	G1	0.05295442044734955
G1	G0	0.05295368656516075
G1	G3	0.05295000597834587
G17	G15	0.0529472716152668
G14	G15	0.05294521525502205
G1	G19	0.05294232815504074
G14	G8	0.05294196680188179
G14	G6	0.05293963849544525
G1	G7	0.0529337078332901
G14	G11	0.05293035879731178
G14	G2	0.052917297929525375
G1	G11	0.052915338426828384
G14	G7	0.05291491746902466
G14	G19	0.052912674844264984
G14	G17	0.052904386073350906
G1	G5	0.05289869010448456
G14	G16	0.05289565399289131
G17	G4	0.05288640782237053
G17	G12	0.05288420990109444
G17	G10	0.052882589399814606
G1	G4	0.05288245901465416
G17	G7	0.052862104028463364
G17	G9	0.05286182835698128
G1	G13	0.0528586208820343
G1	G18	0.052851635962724686
G17	G0	0.05284856632351875
G1	G2	0.05284397676587105
G17	G2	0.05284031480550766
G14	G12	0.05283614993095398
G17	G13	0.05283573269844055
G17	G19	0.052833233028650284
G14	G9	0.05282961577177048
G14	G4	0.05281982570886612
G1	G14	0.05281839147210121
G17	G18	0.05281759425997734
G14	G0	0.052816834300756454
G14	G10	0.05281497538089752
G14	G18	0.05281245708465576
G17	G6	0.052811942994594574
G17	G8	0.05280643329024315
G17	G5	0.05280515179038048
G17	G16	0.05280163139104843
G1	G12	0.052798427641391754
G1	G16	0.05279696360230446
G1	G6	0.05279650166630745
G17	G11	0.05279542878270149
G14	G3	0.05278920382261276
G17	G3	0.05278446525335312
G1	G15	0.0527794323861599
G1	G17	0.05276580527424812
G1	G9	0.0527651347219944
G1	G10	0.052764274179935455
