TF	Target	EdgeWeight
G1	G60	0.009967555291950703
G1	G47	0.009963604621589184
G1	G52	0.00996287539601326
G1	G63	0.009958285838365555
G74	G52	0.009957362897694111
G84	G53	0.009956310503184795
G1	G51	0.00995595846325159
G1	G36	0.009954883717000484
G1	G34	0.009954024106264114
G84	G70	0.009953795000910759
G1	G37	0.009953767992556095
G1	G71	0.009953545406460762
G74	G16	0.009952654130756855
G1	G50	0.009951879270374775
G1	G17	0.009951070882380009
G1	G10	0.009947898797690868
G1	G49	0.00994787085801363
G74	G29	0.009946578182280064
G1	G76	0.009945164434611797
G44	G89	0.00994465034455061
G1	G98	0.009944387711584568
G1	G31	0.00994384940713644
G1	G30	0.009943775832653046
G74	G31	0.009943106211721897
G17	G63	0.009942133910953999
G74	G73	0.00994197092950344
G84	G20	0.00994155090302229
G84	G93	0.009940932504832745
G17	G49	0.00994084868580103
G74	G97	0.009940828196704388
G84	G13	0.009940482676029205
G17	G10	0.009940285235643387
G44	G21	0.009939947165548801
G74	G2	0.009939592331647873
G17	G13	0.009938469156622887
G1	G28	0.009936465881764889
G1	G56	0.009935621172189713
G74	G4	0.009935390204191208
G17	G69	0.00993521511554718
G74	G8	0.009933898225426674
G84	G94	0.009933368302881718
G44	G99	0.009932938031852245
G1	G29	0.009932691231369972
G74	G58	0.00993241835385561
G17	G40	0.009931975044310093
G74	G76	0.009931557811796665
G84	G76	0.009931180626153946
G84	G82	0.009930156171321869
G1	G40	0.009929207153618336
G84	G86	0.009928540326654911
G17	G31	0.009928146377205849
G84	G33	0.0099281445145607
G17	G90	0.00992784183472395
G84	G32	0.00992760993540287
G1	G54	0.009927514009177685
G84	G23	0.009927374310791492
G84	G96	0.00992733146995306
G74	G49	0.009927297942340374
G84	G47	0.009927225299179554
G67	G93	0.009926936589181423
G17	G61	0.009926578029990196
G14	G57	0.009926549158990383
G67	G85	0.00992637686431408
G74	G51	0.009926192462444305
G1	G74	0.009925907477736473
G84	G46	0.009925635531544685
G44	G37	0.009925015270709991
G84	G24	0.009924770332872868
G1	G15	0.009924743324518204
G1	G16	0.009924059733748436
G17	G86	0.00992370955646038
G14	G28	0.00992367509752512
G17	G14	0.009923535399138927
G67	G41	0.009923119097948074
G14	G16	0.009922823868691921
G14	G40	0.009922748431563377
G14	G22	0.009922186844050884
G84	G92	0.009922121651470661
G44	G74	0.009921669028699398
G67	G2	0.009921449236571789
G67	G32	0.009921413846313953
G44	G35	0.009920846670866013
G17	G38	0.009920749813318253
G1	G24	0.009920730255544186
G14	G76	0.009920581243932247
G1	G58	0.009919961914420128
G74	G93	0.009919784031808376
G67	G7	0.009919450618326664
G93	G89	0.009919355623424053
G1	G5	0.009919299744069576
G84	G44	0.00991889275610447
G56	G79	0.009918175637722015
G84	G35	0.009917979128658772
G67	G52	0.009917820803821087
G56	G82	0.00991777703166008
G74	G39	0.009917589835822582
G93	G63	0.009917162358760834
G56	G62	0.00991658866405487
G14	G55	0.009916582144796848
G62	G0	0.009916532784700394
G14	G46	0.009916325099766254
G56	G77	0.009916295297443867
G1	G53	0.00991603173315525
G56	G88	0.009915987960994244
G17	G25	0.009915667586028576
G84	G65	0.009915543720126152
G74	G10	0.00991491973400116
G74	G33	0.009914867579936981
G84	G91	0.009914860129356384
G44	G49	0.009914755821228027
G14	G71	0.00991454254835844
G67	G20	0.00991438515484333
G67	G97	0.009914287365972996
G67	G76	0.009913813322782516
G14	G11	0.009913571178913116
G14	G44	0.009913085028529167
G62	G88	0.009913080371916294
G17	G26	0.009913005866110325
G17	G16	0.00991287175565958
G1	G27	0.009912758134305477
G84	G63	0.009912613779306412
G1	G46	0.009912603534758091
G44	G39	0.009912596084177494
G74	G3	0.00991247221827507
G93	G0	0.009912357665598392
G74	G18	0.009912203997373581
G56	G95	0.009912176989018917
G74	G50	0.00991189293563366
G84	G51	0.009911800734698772
G44	G54	0.009911524131894112
G44	G97	0.009911073371767998
G93	G96	0.009910632856190205
G93	G88	0.00991051271557808
G84	G42	0.00991026870906353
G93	G83	0.00991004891693592
G84	G77	0.009909863583743572
G44	G14	0.009909776039421558
G56	G53	0.009909573011100292
G14	G48	0.009909508749842644
G14	G18	0.009908820502460003
G1	G61	0.009908498264849186
G1	G2	0.009908430278301239
G93	G66	0.00990799255669117
G74	G94	0.009907894767820835
G93	G21	0.009907863102853298
G67	G16	0.009907691739499569
G62	G14	0.009907572530210018
G17	G42	0.009906819090247154
G1	G75	0.009906788356602192
G1	G18	0.00990669708698988
G74	G14	0.009906526654958725
G74	G92	0.00990641675889492
G44	G65	0.00990630965679884
G1	G78	0.00990579929202795
G1	G87	0.009905488230288029
G67	G91	0.009905139915645123
G14	G32	0.009905017912387848
G67	G66	0.009904942475259304
G56	G93	0.009904739446938038
G44	G16	0.009904560633003712
G62	G65	0.009904146194458008
G14	G41	0.009904123842716217
G62	G89	0.009904112666845322
G84	G85	0.0099041061475873
G62	G87	0.00990341417491436
G56	G17	0.009903402999043465
G1	G69	0.00990276224911213
