TF	Target	EdgeWeight
G14	G0	0.05318458005785942
G14	G8	0.05318443104624748
G1	G0	0.05318424478173256
G17	G12	0.05318150669336319
G14	G1	0.05317859351634979
G1	G5	0.05317605286836624
G1	G9	0.053164951503276825
G17	G14	0.05316414684057236
G1	G17	0.05315728858113289
G14	G16	0.05315703898668289
G17	G6	0.053150027990341187
G14	G5	0.05314595252275467
G17	G13	0.05314234271645546
G1	G14	0.053135789930820465
G17	G18	0.05313397943973541
G17	G7	0.05313139036297798
G1	G19	0.05312644690275192
G14	G6	0.053123943507671356
G17	G19	0.05312233790755272
G1	G10	0.05311989784240723
G17	G9	0.05311797559261322
G1	G3	0.05311308056116104
G1	G11	0.053108830004930496
G17	G15	0.053107451647520065
G17	G16	0.053100455552339554
G17	G8	0.05309761315584183
G17	G1	0.05309652164578438
G14	G18	0.05309133604168892
G14	G12	0.053090620785951614
G14	G4	0.053083088248968124
G17	G2	0.05307692661881447
G1	G6	0.053072862327098846
G14	G13	0.05307166278362274
G14	G17	0.053055595606565475
G17	G10	0.053053975105285645
G14	G7	0.05304883420467377
G1	G4	0.053048618137836456
G14	G19	0.05304623767733574
G14	G11	0.053044483065605164
G17	G3	0.05304411053657532
G14	G9	0.05303782597184181
G14	G10	0.05303666740655899
G14	G15	0.053026311099529266
G17	G11	0.05302489548921585
G1	G7	0.053022824227809906
G17	G0	0.05301709845662117
G17	G4	0.053015582263469696
G17	G5	0.05300982668995857
G1	G13	0.053009793162345886
G1	G8	0.053007446229457855
G1	G18	0.05300695076584816
G1	G15	0.05300635099411011
G1	G12	0.05300360545516014
G14	G3	0.05300140753388405
G1	G16	0.05299505218863487
G1	G2	0.052993252873420715
G14	G2	0.05299217626452446
