TF	Target	EdgeWeight
G1	G85	0.01075525302439928
G1	G93	0.010748246684670448
G1	G81	0.010743049904704094
G1	G76	0.010737825185060501
G1	G16	0.01073126308619976
G1	G87	0.010731177404522896
G14	G31	0.01073073223233223
G1	G24	0.010725952684879303
G1	G92	0.01072556059807539
G14	G66	0.010725227184593678
G14	G56	0.010724160820245743
G14	G72	0.010723039507865906
G1	G57	0.010721538215875626
G1	G25	0.010719073936343193
G1	G4	0.010718699544668198
G14	G18	0.010718030855059624
G14	G27	0.01071702316403389
G14	G75	0.010715817101299763
G14	G50	0.01071389764547348
G14	G13	0.010713115334510803
G1	G77	0.010710421949625015
G67	G38	0.01070681493729353
G14	G49	0.010705830529332161
G14	G37	0.010704551823437214
G1	G58	0.010701727122068405
G1	G52	0.010700187645852566
G14	G29	0.01070006936788559
G14	G94	0.01069929450750351
G67	G43	0.010699019767343998
G67	G25	0.010698895901441574
G1	G73	0.010698623955249786
G56	G75	0.010698486119508743
G67	G40	0.010697741992771626
G1	G49	0.010697342455387115
G67	G31	0.010696684941649437
G67	G93	0.010696682147681713
G1	G84	0.010696065612137318
G1	G80	0.0106952590867877
G67	G94	0.01069371122866869
G14	G35	0.010692518204450607
G67	G81	0.010692188516259193
G14	G99	0.010691367089748383
G1	G56	0.01069024857133627
G1	G21	0.010688241571187973
G56	G79	0.010687879286706448
G67	G50	0.01068777497857809
G56	G26	0.010687516070902348
G67	G54	0.010687151923775673
G67	G49	0.010687093250453472
G1	G26	0.01068698801100254
G1	G5	0.010686521418392658
G67	G65	0.010684389621019363
G67	G89	0.010684341192245483
G14	G86	0.010684030130505562
G1	G40	0.01068384200334549
G67	G58	0.010683267377316952
G67	G26	0.010683233849704266
G67	G4	0.010682047344744205
G67	G70	0.010681558400392532
G14	G60	0.01068151742219925
G67	G35	0.01068112812936306
G14	G46	0.010681001469492912
G67	G39	0.010680732317268848
G67	G69	0.010680289007723331
G56	G40	0.01067979633808136
G67	G56	0.010679603554308414
G67	G91	0.010679405182600021
G14	G58	0.010678771883249283
G1	G31	0.010678152553737164
G14	G89	0.01067708246409893
G14	G41	0.010677067562937737
G67	G84	0.010676838457584381
G56	G5	0.010675731115043163
G14	G83	0.010675485245883465
G74	G29	0.010675320401787758
G14	G1	0.010675225406885147
G1	G42	0.010675011202692986
G1	G78	0.010674707591533661
G56	G42	0.010673976503312588
G1	G74	0.010673658922314644
G1	G39	0.0106727359816432
G74	G96	0.010672547854483128
