"AUC","Node","Percent"
"0.654947916666667","x9","1"
"0.697916666666667","x9","1"
"0.580729166666667","x9","1"
"0.5","x9","1"
"0.5","x9","1"
"0.544270833333333","x9","1"
"0.5","x9","1"
"0.596354166666667","x9","1"
"0.639322916666667","x9","1"
"0.7734375","x9","1"
"0.954549153645833","x9","2"
"0.83807373046875","x9","2"
"0.71063232421875","x9","2"
"0.809183756510417","x9","2"
"0.8203125","x9","2"
"0.706400553385417","x9","2"
"0.919535319010417","x9","2"
"0.777933756510417","x9","2"
"0.764149983723958","x9","2"
"1","x9","2"
"0.915751139322917","x9","3"
"1","x9","3"
"1","x9","3"
"0.854685465494792","x9","3"
"0.90142822265625","x9","3"
"0.92364501953125","x9","3"
"1","x9","3"
"1","x9","3"
"1","x9","3"
"1","x9","3"
"0.97265625","x9","4"
"1","x9","4"
"1","x9","4"
"1","x9","4"
"1","x9","4"
"1","x9","4"
"1","x9","4"
"1","x9","4"
"1","x9","4"
"1","x9","4"
"1","x9","5"
"1","x9","5"
"1","x9","5"
"1","x9","5"
"1","x9","5"
"1","x9","5"
"1","x9","5"
"1","x9","5"
"1","x9","5"
"1","x9","5"
"1","x9","6"
"1","x9","6"
"1","x9","6"
"1","x9","6"
"1","x9","6"
"1","x9","6"
"1","x9","6"
"1","x9","6"
"1","x9","6"
"1","x9","6"
