"AUC","Node","Percent"
"0.729166666666667","x1","1"
"0.723958333333333","x1","1"
"1","x1","1"
"1","x1","1"
"0.833333333333333","x1","1"
"1","x1","1"
"0.833333333333333","x1","1"
"0.6875","x1","1"
"1","x1","1"
"0.895833333333333","x1","1"
"0.80828857421875","x1","2"
"0.802642822265625","x1","2"
"0.751800537109375","x1","2"
"0.598012288411458","x1","2"
"0.567789713541667","x1","2"
"0.922709147135417","x1","2"
"0.945556640625","x1","2"
"0.851155598958333","x1","2"
"0.518310546875","x1","2"
"0.8209228515625","x1","2"
"0.970967610677083","x1","3"
"0.922139485677083","x1","3"
"0.839518229166667","x1","3"
"1","x1","3"
"0.844950358072917","x1","3"
"0.8040771484375","x1","3"
"0.901285807291667","x1","3"
"0.980224609375","x1","3"
"0.982889811197917","x1","3"
"0.784718831380208","x1","3"
"1","x1","4"
"0.914306640625","x1","4"
"1","x1","4"
"1","x1","4"
"1","x1","4"
"1","x1","4"
"1","x1","4"
"1","x1","4"
"0.987650553385417","x1","4"
"1","x1","4"
"1","x1","5"
"1","x1","5"
"1","x1","5"
"1","x1","5"
"1","x1","5"
"1","x1","5"
"1","x1","5"
"1","x1","5"
"0.988911946614583","x1","5"
"1","x1","5"
"1","x1","6"
"1","x1","6"
"1","x1","6"
"1","x1","6"
"1","x1","6"
"1","x1","6"
"1","x1","6"
"1","x1","6"
"0.99468994140625","x1","6"
"1","x1","6"
"1","x1","7"
"1","x1","7"
"1","x1","7"
"1","x1","7"
"1","x1","7"
"1","x1","7"
"1","x1","7"
"1","x1","7"
"1","x1","7"
"1","x1","7"
"1","x1","8"
"1","x1","8"
"1","x1","8"
"1","x1","8"
"1","x1","8"
"1","x1","8"
"1","x1","8"
"1","x1","8"
"1","x1","8"
"1","x1","8"
