"","Seed1","Seed2","Seed3","Seed4","Seed5","Seed6","Seed7","Seed8","Seed9","Seed10"
"1",0.579166666666667,0.494791666666667,0.495833333333333,0.5,0.9,0.569791666666667,0.567708333333333,0.594270833333333,0.544791666666667,0.525
"2",0.872526041666667,0.821280924479167,0.535343424479167,0.84267578125,0.853450520833333,0.928531901041667,0.683056640625,0.940836588541667,0.884212239583333,0.812874348958333
"3",0.853125,0.822550455729167,0.712296549479167,0.901611328125,0.906217447916667,0.939412434895833,0.775911458333333,0.913948567708333,1,0.824137369791667
"4",0.885237630208333,0.80048828125,0.8650390625,0.9486328125,0.98984375,0.921614583333333,1,0.976676432291667,1,0.910286458333333
"5",0.978141276041667,0.941162109375,0.976920572916667,0.945833333333333,0.989078776041667,0.962263997395833,1,0.989583333333333,1,0.938810221354167
"6",0.976236979166667,0.964469401041667,0.985221354166667,0.945426432291667,0.989583333333333,0.947420247395833,1,0.989241536458333,1,0.98447265625
"7",0.983333333333333,0.966349283854167,0.990380859375,0.879964192708333,1,0.964656575520833,1,0.991259765625,1,0.9826171875
"8",1,1,1,0.990950520833333,1,1,1,0.990999348958333,1,1
"9",1,1,1,1,1,1,1,1,1,1
"10",1,1,1,1,1,1,1,1,1,1
