"","Seed1","Seed2","Seed3","Seed4","Seed5","Seed6","Seed7","Seed8","Seed9","Seed10"
"1",0.838541666666667,0.46875,0.833333333333333,0.848958333333333,0.916666666666667,0.833333333333333,1,1,0.859375,0.833333333333333
"2",0.610198974609375,0.8968505859375,0.634592692057292,0.966878255208333,0.609375,0.833333333333333,0.8160400390625,1,0.877705891927083,0.833333333333333
"3",1,1,0.92816162109375,0.962076822916667,1,1,0.966206868489583,0.968465169270833,0.8643798828125,0.833333333333333
"4",1,1,0.966837565104167,1,1,0.872660319010417,0.953776041666667,1,0.96875,0.952982584635417
"5",1,1,1,1,1,1,1,1,1,0.927724202473958
"6",1,1,1,1,1,1,1,1,1,1
"7",1,1,1,1,1,1,1,1,1,1
"8",1,1,1,1,1,1,1,1,1,1
"9",1,1,1,1,1,1,1,1,1,1
"10",1,1,1,1,1,1,1,1,1,1
