gene_name,V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12,V13,V14,V15,V16,V17,V18,V19,V20,V21
G1,1,1,1,1,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
G2,0,0,0,0,1,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1
G3,1,1,1,1,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0
G4,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
G5,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
G6,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1
G7,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
G8,0,0,0,0,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
G9,1,0,1,0,0,1,1,1,0,0,0,1,0,0,1,0,1,1,0,1,1
G10,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,0,0
