from.gene	relation	to.gene
Bptf	1	Bptf
Bptf	1	Erg
Bptf	1	Gata2
Bptf	1	Ikzf1
Bptf	1	Lmo2
Bptf	1	Myb
Bptf	1	Nfe2
Bptf	1	Smarcc1
Cbfa2t3h	1	Cbfa2t3h
Cbfa2t3h	1	Fli1
Cbfa2t3h	1	Gata1
Cbfa2t3h	1	Gata2
Cbfa2t3h	1	Ikzf1
Cbfa2t3h	1	Meis1
Cbfa2t3h	1	Myb
Cbfa2t3h	1	Nfe2
Erg	1	Erg
Erg	1	Fli1
Erg	-1	Gata1
Erg	1	Lyl1
Erg	1	Meis1
Ets1	1	Ets1
Ets1	-1	Etv6
Ets1	1	Hoxa9
Ets1	1	Ikzf1
Ets1	1	Notch
Ets1	1	Tcf7
Ets2	1	Ets2
Ets2	1	Fli1
Ets2	1	Gfi1b
Ets2	1	Smarcc1
Etv6	1	Etv6
Etv6	1	Fli1
Etv6	-1	Gfi1b
Etv6	1	Meis1
Etv6	1	Runx1
Etv6	1	Smarcc1
Fli1	1	Fli1
Fli1	-1	Gata1
Fli1	-1	Ldb1
Fli1	1	Meis1
Fli1	1	Mitf
Fli1	-1	Myb
Fli1	1	Nfe2
Fli1	1	Pbx1
Fli1	1	Prdm16
Fli1	1	Runx1
Fli1	1	Smarcc1
Gata1	1	Gata1
Gata1	1	Gata2
Gata1	1	Gfi1b
Gata1	1	Hoxa5
Gata1	-1	Hoxa9
Gata1	-1	Lyl1
Gata1	1	Myb
Gata1	-1	Nkx2.3
Gata1	1	Smarcc1
Gata1	1	Tal1
Gata1	1	Tcf7
Gata2	1	Gata2
Gata2	1	Gfi1b
Gata2	-1	Hoxa9
Gata2	-1	Ikzf1
Gata2	1	Meis1
Gata2	1	Nfe2
Gata2	-1	Notch
Gata2	1	Pbx1
Gata2	-1	Smarcc1
Gata2	1	Tal1
Gata3	1	Gata3
Gata3	-1	Myb
Gata3	1	Nkx2.3
Gata3	-1	Smarcc1
Gata3	1	Tal1
Gata3	1	Tcf7
Gfi1b	1	Gfi1b
Gfi1b	-1	Notch
Gfi1b	1	Pbx1
Gfi1b	1	Tal1
Hhex	1	Hhex
Hhex	1	Hoxa5
Hhex	1	Nfe2
Hoxa5	1	Hoxa5
Hoxa5	1	Hoxa9
Hoxa5	1	Prdm16
Hoxa5	1	Tcf7
Hoxa9	1	Hoxa9
Hoxa9	1	Ikzf1
Hoxa9	1	Lyl1
Hoxa9	1	Meis1
Hoxa9	1	Nkx2.3
Hoxb4	1	Hoxb4
Hoxb4	1	Tcf7
Ikzf1	1	Ikzf1
Ikzf1	1	Ldb1
Ikzf1	1	Myb
Ikzf1	-1	Pbx1
Ikzf1	1	Smarcc1
Ikzf1	-1	Tcf7
Ldb1	1	Ldb1
Ldb1	1	Lmo2
Ldb1	1	Myb
Ldb1	1	Smarcc1
Lmo2	1	Lmo2
Lmo2	1	Lyl1
Lmo2	1	Meis1
Lmo2	1	Nfe2
Lmo2	1	Nkx2.3
Lmo2	1	Notch
Lmo2	-1	Runx1
Lmo2	1	Tal1
Lyl1	1	Lyl1
Lyl1	1	Myb
Lyl1	1	Nfe2
Lyl1	1	Nkx2.3
Lyl1	1	Smarcc1
Meis1	1	Meis1
Meis1	-1	Myb
Meis1	1	Nfe2
Meis1	1	Nkx2.3
Meis1	1	Pbx1
Meis1	1	Runx1
Mitf	1	Mitf
Myb	1	Myb
Myb	1	Nfe2
Myb	-1	Nkx2.3
Myb	-1	Pbx1
Myb	-1	Prdm16
Myb	1	Runx1
Myb	1	Smarcc1
Nfe2	1	Nfe2
Nfe2	-1	Notch
Nkx2.3	1	Nkx2.3
Nkx2.3	-1	Runx1
Nkx2.3	-1	Smarcc1
Nkx2.3	1	Tcf7
Notch	1	Notch
Notch	1	Tcf7
Pbx1	1	Pbx1
