Bptf	Cbfa2t3h	Erg	Ets1	Ets2	Etv6	Fli1	Gata1	Gata2	Gata3	Gfi1b	Hhex	Hoxa5	Hoxa9	Hoxb4	Ikzf1	Ldb1	Lmo2	Lyl1	Meis1	Mitf	Myb	Nfe2	Nkx2.3	Notch	Pbx1	Prdm16	Runx1	Smarcc1	Tal1	Tcf7
HSC_150_043	1	1	1	1	1	1	1	0	1	1	1	1	0	1	0	1	1	1	1	1	0	1	1	1	0	1	1	1	1	1	0
HSC48_013	1	1	1	0	1	1	1	0	1	1	1	1	0	1	0	1	1	1	1	1	1	0	1	1	0	1	1	1	1	1	0
HSC48_083	1	1	1	1	1	1	1	0	1	1	1	1	0	1	0	1	0	1	1	1	0	0	1	1	0	1	1	1	1	1	0
HSC34_387	0	1	1	1	1	1	1	0	1	1	1	1	0	1	0	1	1	1	1	1	0	1	1	1	0	1	1	1	1	1	0
HSC48_049	1	1	1	1	1	1	1	0	1	1	1	1	0	1	0	1	1	1	1	1	1	0	1	1	0	1	1	0	1	1	0
HSC_150_035	1	1	1	0	1	0	1	0	1	0	1	0	0	1	0	1	0	1	1	0	0	0	1	1	0	0	1	0	1	1	0
HSC_150_052	1	1	1	0	1	1	1	0	1	1	1	0	0	1	0	0	1	1	1	1	1	1	1	0	1	1	1	1	1	1	0
HSC_150_160	1	1	1	0	1	1	1	0	1	0	1	0	0	1	0	0	1	1	1	1	1	0	1	1	0	1	1	0	1	0	0
HSC_150_165	1	1	1	1	1	0	1	0	1	1	1	1	0	0	0	1	1	1	1	1	1	0	1	1	0	1	1	1	1	1	0
HSC48_205	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	0	1	1	1	0	0	1	1	1	1	1	1	1	1	0
HSC_150_150	1	1	1	1	1	1	1	0	1	1	1	1	0	1	0	1	1	1	1	1	0	0	1	1	0	1	1	0	1	1	0
HSC34_338	1	1	1	0	0	1	1	0	1	1	1	1	0	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0
HSC_150_112	1	1	1	0	1	1	1	0	1	1	1	1	0	0	0	1	1	1	1	1	0	0	1	1	0	0	0	0	1	0	0
HSC_150_063	1	1	1	0	1	0	1	0	1	0	1	1	0	1	0	1	1	1	1	1	1	0	1	1	0	1	0	1	1	1	0
HSC34_224	1	1	1	0	1	1	1	0	0	1	1	1	0	1	1	1	1	1	1	1	0	0	1	1	0	1	1	1	1	1	0
HSC_150_121	1	1	1	0	1	1	1	0	1	1	1	0	0	0	0	0	1	1	1	1	1	0	1	1	0	1	1	1	1	1	0
HSC34_413	1	1	1	1	1	1	1	0	1	1	1	1	0	0	1	1	1	1	1	1	0	0	1	1	1	1	1	1	1	1	0
HSC_150_155	1	1	1	0	1	1	1	0	1	0	1	1	0	1	0	1	1	1	1	1	1	0	1	1	0	1	0	0	1	1	0
HSC_150_100	1	0	1	0	1	1	1	0	1	0	1	1	0	1	0	1	1	1	1	1	0	1	1	1	0	1	1	1	1	1	0
HSC34_417	1	1	1	0	1	1	1	0	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	0	1	0	1	1	1	0
HSC48_018	1	1	1	0	0	1	1	0	1	1	1	1	0	1	0	1	1	1	1	1	0	0	1	1	0	1	1	0	1	1	0
HSC48_130	1	1	1	1	1	1	1	0	1	1	1	1	1	1	0	1	1	1	1	1	0	1	1	1	0	1	1	1	1	1	0
HSC48_199	1	1	1	0	1	1	1	0	1	1	1	1	0	1	0	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	0
HSC_150_069	1	1	1	1	1	0	1	0	1	1	1	0	0	0	0	1	1	1	1	1	1	0	1	1	0	1	1	0	1	1	0
HSC_150_083	1	1	1	1	1	0	1	0	1	1	0	1	0	1	0	1	0	1	1	1	1	0	1	1	0	0	0	0	1	1	0
HSC_150_122	1	0	1	0	0	0	1	0	1	0	1	1	1	0	0	1	1	1	1	1	1	0	1	0	0	1	1	1	1	1	0
HSC_150_039	1	1	1	1	0	0	1	0	1	1	1	1	0	1	0	1	1	1	1	1	1	0	1	1	0	1	0	0	1	1	0
HSC_150_142	1	1	1	0	1	0	1	0	1	0	0	1	0	1	1	1	0	1	1	1	1	0	1	1	0	1	1	1	1	1	0
HSC_150_125	1	1	1	1	1	0	1	0	1	0	1	0	0	1	1	1	1	1	1	1	1	0	1	1	0	1	1	0	1	1	0
HSC_150_082	1	1	1	1	1	0	1	0	1	0	1	1	1	1	0	1	1	1	1	1	0	1	1	1	0	1	0	0	1	1	0
HSC48_085	1	1	1	0	1	1	1	0	1	1	1	1	1	1	0	1	1	1	1	1	1	0	1	1	1	1	0	1	1	1	0
HSC34_244	1	1	1	0	1	1	1	0	1	1	1	1	0	1	0	1	0	1	1	1	0	1	1	1	0	1	1	1	1	1	0
HSC_150_168	1	1	1	0	1	0	1	0	1	0	0	0	1	1	0	1	1	1	1	1	0	0	1	1	0	1	1	0	1	1	0
HSC48_079	1	1	1	0	1	1	1	0	1	1	1	0	0	1	0	1	0	1	1	1	1	0	1	1	0	1	1	1	1	0	0
HSC_150_018	1	1	1	1	1	1	1	0	1	0	1	1	0	1	0	0	1	1	1	1	0	1	1	1	0	1	1	1	1	0	0
HSC34_255	1	1	1	0	1	1	1	0	1	1	1	1	0	0	0	1	1	1	1	1	1	1	1	1	0	1	0	1	1	1	0
HSC48_070	1	1	0	1	1	1	1	0	1	0	1	1	1	1	1	1	1	1	1	1	0	0	1	1	1	1	1	1	1	1	0
HSC_150_062	1	1	1	1	1	0	1	0	1	1	1	0	0	1	1	1	0	1	1	1	1	1	1	1	0	1	1	0	1	0	0
HSC48_057	1	0	1	0	1	1	1	0	1	1	1	1	0	1	1	1	1	1	1	1	1	0	1	1	0	1	1	1	1	0	0
HSC_150_003	1	1	1	0	1	1	1	0	1	1	1	1	0	1	0	1	1	1	1	1	1	1	1	1	0	1	0	1	1	1	0
HSC48_120	1	1	1	1	1	1	1	0	1	1	1	1	1	1	0	1	1	1	1	1	0	0	1	1	0	1	1	1	1	1	0
HSC34_228	1	1	1	1	1	1	1	0	1	0	1	1	1	1	0	1	1	1	1	1	0	1	1	1	0	1	0	1	1	1	0
HSC_150_185	1	1	1	1	1	1	1	0	1	0	0	1	0	1	0	0	1	1	1	1	0	0	1	0	0	1	1	1	1	1	0
HSC_150_075	1	1	1	0	1	0	1	0	1	0	1	0	0	0	0	1	1	1	1	0	1	0	1	1	0	0	0	0	1	1	0
HSC_SP_035	1	1	1	0	1	1	1	0	1	1	1	0	0	1	0	1	0	1	1	1	1	1	1	1	0	1	1	1	1	1	0
HSC_150_088	1	1	1	0	1	1	1	0	1	0	0	0	1	1	0	1	1	1	1	1	1	0	1	1	0	1	0	1	1	1	0
HSC_SP_088	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	0	1	1	1	1	1	0
HSC_150_127	1	1	1	1	1	1	1	0	1	1	1	1	0	1	1	1	1	1	1	1	0	0	1	1	1	1	1	1	1	0	0
HSC48_125	0	1	1	1	1	1	1	0	1	1	0	1	1	0	0	1	1	1	1	1	0	0	1	1	1	1	0	1	1	1	0
HSC_150_064	1	1	1	1	1	0	1	0	1	1	1	1	0	0	0	1	1	1	1	1	0	1	1	1	0	1	1	1	1	1	0
HSC_150_029	1	1	1	1	1	0	1	0	1	0	1	1	1	1	0	1	1	1	1	1	1	0	1	1	0	1	1	0	1	1	0
HSC48_106	1	1	1	1	1	1	1	0	1	0	0	1	0	1	0	1	1	1	1	1	0	0	1	1	0	1	1	1	1	1	0
HSC_150_189	1	1	1	0	1	1	1	0	1	1	1	1	0	1	0	1	1	1	1	1	0	0	1	1	0	1	0	1	1	1	0
HSC_150_161	1	1	1	1	1	1	1	0	1	1	1	1	1	1	0	0	0	1	1	1	0	0	1	0	0	1	0	0	1	1	0
HSC_SP_005	1	1	1	1	1	1	1	0	1	1	1	1	0	1	0	1	1	1	1	1	0	1	1	1	0	1	1	1	1	1	1
HSC_150_135	1	1	1	1	1	1	1	0	1	0	1	1	1	1	0	1	1	1	1	1	0	0	0	1	1	1	0	1	1	1	0
HSC_150_140	1	1	1	0	1	1	1	0	1	0	1	1	0	0	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	0	0
HSC48_164	1	1	1	0	1	1	1	0	1	0	1	1	1	1	0	1	0	1	1	1	0	0	1	1	1	1	1	1	1	1	0
HSC_150_096	1	1	1	0	1	1	1	0	1	1	0	1	0	0	0	0	1	1	1	1	1	0	1	1	1	1	1	1	1	1	0
HSC_150_145	1	0	1	0	1	1	1	0	1	0	1	1	0	1	0	1	0	1	1	1	1	0	1	1	0	1	0	1	1	0	0
HSC_150_037	1	1	1	0	1	0	1	0	1	1	1	1	1	1	0	1	1	1	1	1	0	0	1	1	0	1	1	0	1	0	0
HSC48_111	1	1	1	1	1	1	1	0	1	1	1	1	0	1	0	0	1	1	1	1	0	0	1	0	1	1	0	1	1	1	0
HSC48_076	1	1	1	1	1	1	1	0	1	1	1	1	1	0	1	1	1	1	1	1	0	1	1	1	0	1	0	1	1	1	0
HSC_150_205	1	0	1	1	1	1	1	0	1	0	0	0	1	1	0	1	0	1	1	1	0	1	1	0	0	1	1	1	1	0	0
HSC_150_113	1	1	1	1	1	1	1	0	1	1	1	1	0	1	0	1	1	1	1	1	0	0	1	0	0	1	0	1	1	1	0
HSC_150_038	1	1	1	0	1	0	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	0	1	0	0	1	0	0
HSC48_155	0	1	1	1	1	1	1	0	1	1	1	0	0	1	0	1	1	1	1	1	1	0	1	1	0	1	1	1	1	1	0
HSC34_220	1	1	1	1	1	1	1	0	1	1	0	0	0	1	0	1	0	1	1	1	1	0	1	1	0	1	1	1	1	1	0
HSC48_166	1	1	1	0	1	1	1	0	1	1	1	1	0	1	0	1	1	1	1	1	0	0	1	1	0	1	1	0	1	0	0
HSC48_058	1	1	1	1	1	1	1	0	1	1	1	1	1	0	1	1	1	1	1	1	0	0	1	1	1	1	1	1	1	1	0
HSC48_031	1	1	1	0	0	1	1	0	1	1	1	1	0	1	1	1	1	1	1	1	1	0	1	1	0	1	0	1	1	1	0
