"","MeanAUC","DyAcc"
"1",0.5,0.616
"2",0.498925886143931,0.603
"3",0.538668098818475,0.672
"4",0.5,0.583
"5",0.5,0.63
"6",0.495614035087719,0.642
"7",0.5,0.579
"8",0.498925886143931,0.617
"9",0.520408163265306,0.627
"10",0.516447368421053,0.561
"11",0.497851772287863,0.61
"12",0.510204081632653,0.647
"13",0.5,0.586
"14",0.520833333333333,0.602
"15",0.5,0.59
"16",0.498925886143931,0.64
"17",0.5,0.571
"18",0.5,0.614
"19",0.510416666666667,0.642
"20",0.5,0.618
"21",0.5,0.541
"22",0.531914893617021,0.653
"23",0.5,0.594
