6,1,10,2.246557086,2,,,,,,,,,,,,,,,
12,1,10,-2.246557086,2,,,,,,,,,,,,,,,
13,1,7,1.246557086,2,,,,,,,,,,,,,,,
16,1,5,2.246557086,2,,,,,,,,,,,,,,,
0,2,7,9,3.557150531,1.87866117,2,2,,,,,,,,,,,,
1,2,3,8,-2.156832795,3.5545035,2,2,,,,,,,,,,,,
2,2,7,10,4.070245729,-4.849706971,2,2,,,,,,,,,,,,
8,2,7,10,-4.175903441,4.215326749,2,2,,,,,,,,,,,,
14,3,5,8,11,1.859443922,2.643663733,2.315059941,2,2,2,,,,,,,,,
4,4,5,7,11,12,3.798463392,-4.009575913,2.686621454,3.475561623,2,2,2,2,,,,,,
9,4,3,5,8,10,-2.070266712,3.07242298,1.568398178,4.098656579,2,2,2,2,,,,,,
15,4,3,4,7,8,-3.264687372,3.834249057,-2.620715274,2.519634185,2,2,2,2,,,,,,
10,5,1,3,4,8,11,1.731038994,-2.641368643,2.419502252,3.265455299,3.002332285,2,2,2,2,2,,,
11,5,1,3,4,8,10,2.019363749,-4.012549297,4.624595838,4.016603904,1.760143845,2,2,2,2,2,,,
3,6,1,7,8,10,11,12,-4.94680002,3.396209524,-1.016558104,-1.698326702,2.36109549,1.263320211,2,2,2,2,2,2
5,6,1,4,7,10,11,14,4.94680002,3.396209524,-1.016558104,1.698326702,2.36109549,1.263320211,2,2,2,2,2,2
7,6,1,4,5,10,11,12,-2.160776265,-4.631967512,-2.715411954,3.913044035,4.119367469,-4.875505233,2,2,2,2,2,2
