"","min","max","links","AUROC","AUPR","Acc","Recall","Pre","FPR","Fmeasure","AUROC0","AUPR0","Acc0","Recall0","Pre0","FPR0","Fmeasure0"
"1",3,24,872,0.447864467142136,0.0180300113826861,0.6388,0.287671232876712,0.0240825688073395,0.350638648537289,0.0444444444444444,0.361444394655348,0.0131448850000435,0.6324,0.087719298245614,0.00573394495412844,0.354891526811298,0.0107642626480086
"2",4,27,827,0.462491988874001,0.0171098689378479,0.6572,0.272727272727273,0.0217654171704958,0.332374691865242,0.0403135498320269,0.340677274581803,0.0096,0.65,0,0,0.337275693311582,0
"3",2,26,917,0.497142852181681,0.0243981300481158,0.626,0.371428571428571,0.0283533260632497,0.366666666666667,0.0526849037487335,0.321108394458028,0.0088,0.6156,0,0,0.373371335504886,0
"4",4,23,858,0.468354881327585,0.0266400207280703,0.6448,0.285714285714286,0.0233100233100233,0.344855967078189,0.0431034482758621,0.333007321518351,0.0105922708870077,0.6372,0.0196078431372549,0.00116550116550117,0.349938750510412,0.0022002200220022
"5",4,30,908,0.474693934589932,0.0215637606444821,0.6272,0.328571428571429,0.0253303964757709,0.364197530864198,0.0470347648261759,0.371260579621994,0.013267319037919,0.6208,0.12962962962963,0.00770925110132159,0.368356500408831,0.0145530145530146
"6",4,24,896,0.45207142125395,0.0205894001551044,0.6272,0.256756756756757,0.0212053571428571,0.361500412201154,0.0391752577319588,0.317382413087935,0.011,0.6196,0,0,0.366462167689162,0
"7",3,28,916,0.461070802125672,0.0663605594147274,0.6188,0.253333333333333,0.0207423580786026,0.369896907216495,0.0383451059535822,0.32037643207856,0.0112,0.6112,0,0,0.374795417348609,0
"8",4,26,894,0.463161487529506,0.0183812411781818,0.6304,0.285714285714286,0.0223713646532438,0.359670781893004,0.04149377593361,0.354225053291894,0.0112885732534144,0.6232,0.0384615384615385,0.00223713646532438,0.36437908496732,0.00422832980972516
"9",4,23,892,0.440505168585589,0.0162709530600276,0.6276,0.217391304347826,0.0168161434977578,0.360756890168655,0.0312174817898023,0.336500219471395,0.0116070177606827,0.6224,0.0357142857142857,0.00224215246636771,0.364157119476268,0.00421940928270042
"10",3,23,791,0.419110276500872,0.0127064468842238,0.6648,0.169014084507042,0.0151706700379267,0.320708110333471,0.0278422273781903,0.368529104436362,0.0134575466482349,0.6612,0.0483870967741935,0.00379266750948167,0.323215750615258,0.00703399765533412
"11",NA,NA,NA,0.473274627287216,0.0115046367873856,0.6404,0.211267605633803,0.0174825174825175,0.347056401811445,0.0322927879440258,0.46699696463103,0.0139936049116237,0.6348,0.0175438596491228,0.00116550116550117,0.350798198935735,0.00218579234972678
"12",5,26,920,0.46242839159267,0.0201497100046712,0.62,0.291666666666667,0.0228260869565217,0.370263591433278,0.0423387096774194,0.324550653594771,0.0102,0.6116,0,0,0.375663536137199,0
"13",4,23,881,0.415627248059333,0.0128162085978363,0.6304,0.188405797101449,0.0147559591373439,0.357054709995886,0.0273684210526316,0.34827498821333,0.0124892335449931,0.626,0.0344827586206897,0.00227014755959137,0.35995085995086,0.00425985090521832
"14",4,26,867,0.449272992119856,0.0181856819746371,0.642,0.3,0.0242214532871972,0.348148148148148,0.0448239060832444,0.349201070482034,0.0110925847324131,0.6344,0.0392156862745098,0.00230680507497117,0.353205389955084,0.00435729847494553
"15",6,25,877,0.446344167881004,0.017790917624194,0.6336,0.225352112676056,0.0182440136830103,0.354466858789625,0.0337552742616034,0.332167864980767,0.0115874479482839,0.6276,0.0178571428571429,0.00114025085518814,0.358428805237316,0.00214362272240086
"16",3,26,877,0.44470757164146,0.024319900430852,0.6348,0.25,0.0205245153933865,0.353789126853377,0.0379346680716544,0.324611610793132,0.0108,0.6276,0,0,0.358544562551104,0
"17",2,22,819,0.450941879629108,0.0184704801912943,0.6556,0.230769230769231,0.021978021978022,0.330718414533443,0.040133779264214,0.379037120659989,0.0148761142659229,0.65,0.0625,0.00488400488400488,0.334564860426929,0.00906002265005663
"18",3,24,913,0.476369675108506,0.0186098314351598,0.62,0.223880597014925,0.0164293537787514,0.369091656391286,0.0306122448979592,0.366257668711656,0.0104,0.614,0,0,0.372957516339869,0
"19",8,22,862,0.435767565469541,0.0161406661850618,0.6392,0.214285714285714,0.0174013921113689,0.348559670781893,0.0321888412017167,0.420860260879343,0.0196588952553688,0.6376,0.166666666666667,0.0127610208816705,0.349630238290879,0.0237068965517241
"20",4,23,878,0.478264337903951,0.0214167282481887,0.6376,0.294117647058824,0.0227790432801822,0.352796052631579,0.0422832980972516,0.348759665076811,0.0102560355596848,0.63,0.0204081632653061,0.00113895216400911,0.3578131374949,0.00215749730312837
"21",2,21,772,0.428315226409055,0.0102909394163889,0.672,0.157142857142857,0.0142487046632124,0.313168724279835,0.0261282660332542,0.393341553637485,0.0122,0.6684,0.0327868852459016,0.00259067357512953,0.31570315703157,0.00480192076830732
"22",3,24,911,0.424402297487385,0.0167100824852886,0.618,0.210526315789474,0.017563117453348,0.369224422442244,0.0324214792299899,0.326438337194092,0.0125718207712909,0.612,0.0163934426229508,0.00109769484083425,0.37310373103731,0.00205761316872428
"23",5,23,786,0.482803660798366,0.0171912708502447,0.67,0.24,0.0229007633587786,0.316701030927835,0.0418118466898955,0.470815811240144,0.018695011877239,0.6652,0.0952380952380952,0.00763358778625954,0.320065654493229,0.0141342756183746
