"AUC","Node","Percent"
"0.5","x2","1"
"0.9","x2","1"
"0.766666666666667","x2","1"
"0.670833333333333","x2","1"
"0.666666666666667","x2","1"
"0.5","x2","1"
"0.933333333333333","x2","1"
"0.820833333333333","x2","1"
"0.7","x2","1"
"0.795833333333333","x2","1"
"0.791666666666667","x2","2"
"0.988736979166667","x2","2"
"0.6728515625","x2","2"
"0.688151041666667","x2","2"
"0.73984375","x2","2"
"0.533854166666667","x2","2"
"0.812174479166667","x2","2"
"0.9658203125","x2","2"
"0.74912109375","x2","2"
"0.804231770833333","x2","2"
"0.96875","x2","3"
"0.84580078125","x2","3"
"0.581184895833333","x2","3"
"0.923567708333333","x2","3"
"0.8923828125","x2","3"
"0.5","x2","3"
"0.787923177083333","x2","3"
"0.822591145833333","x2","3"
"0.540494791666667","x2","3"
"0.811881510416667","x2","3"
"0.558854166666667","x2","4"
"0.860481770833333","x2","4"
"0.86787109375","x2","4"
"0.882975260416667","x2","4"
"0.954752604166667","x2","4"
"0.951822916666667","x2","4"
"0.9068359375","x2","4"
"0.670735677083333","x2","4"
"0.904036458333333","x2","4"
"0.717252604166667","x2","4"
"0.82421875","x2","5"
"0.947981770833333","x2","5"
"0.838151041666667","x2","5"
"0.963834635416667","x2","5"
"0.958528645833333","x2","5"
"0.94482421875","x2","5"
"0.845182291666667","x2","5"
"0.933333333333333","x2","5"
"0.727734375","x2","5"
"0.739453125","x2","5"
"0.745638020833333","x2","6"
"0.945670572916667","x2","6"
"0.873111979166667","x2","6"
"0.982552083333333","x2","6"
"0.998958333333333","x2","6"
"0.946484375","x2","6"
"0.881705729166667","x2","6"
"0.978255208333333","x2","6"
"0.71328125","x2","6"
"0.791145833333333","x2","6"
"0.950651041666667","x2","7"
"0.988736979166667","x2","7"
"0.996809895833333","x2","7"
"0.92421875","x2","7"
"1","x2","7"
"1","x2","7"
"0.956510416666667","x2","7"
"0.8712890625","x2","7"
"0.950716145833333","x2","7"
"1","x2","7"
"0.961653645833333","x2","8"
"0.998372395833333","x2","8"
"0.947135416666667","x2","8"
"1","x2","8"
"0.995247395833333","x2","8"
"1","x2","8"
"0.879557291666667","x2","8"
"1","x2","8"
"0.876627604166667","x2","8"
"1","x2","8"
"0.966341145833333","x2","9"
"0.998697916666667","x2","9"
"1","x2","9"
"1","x2","9"
"0.975260416666667","x2","9"
"1","x2","9"
"1","x2","9"
"1","x2","9"
"0.9783203125","x2","9"
"1","x2","9"
"0.966569010416667","x2","10"
"0.998697916666667","x2","10"
"1","x2","10"
"1","x2","10"
"0.975455729166667","x2","10"
"1","x2","10"
"1","x2","10"
"1","x2","10"
"1","x2","10"
"1","x2","10"
"0.966471354166667","x2","11"
"0.985872395833333","x2","11"
"1","x2","11"
"1","x2","11"
"0.982161458333333","x2","11"
"1","x2","11"
"1","x2","11"
"1","x2","11"
"1","x2","11"
"1","x2","11"
"1","x2","12"
"0.9869140625","x2","12"
"1","x2","12"
"1","x2","12"
"0.978971354166667","x2","12"
"1","x2","12"
"1","x2","12"
"1","x2","12"
"1","x2","12"
"1","x2","12"
"0.999088541666667","x2","13"
"0.98447265625","x2","13"
"1","x2","13"
"1","x2","13"
"0.988671875","x2","13"
"1","x2","13"
"1","x2","13"
"1","x2","13"
"1","x2","13"
"1","x2","13"
"1","x2","14"
"1","x2","14"
"1","x2","14"
"1","x2","14"
"1","x2","14"
"1","x2","14"
"1","x2","14"
"1","x2","14"
"1","x2","14"
"1","x2","14"
"1","x2","15"
"1","x2","15"
"1","x2","15"
"1","x2","15"
"1","x2","15"
"1","x2","15"
"1","x2","15"
"1","x2","15"
"1","x2","15"
"1","x2","15"
