"AUC","Node","Percent"
"0.477958937198068","x8","1"
"0.516002415458937","x8","1"
"0.503925120772947","x8","1"
"0.519323671497585","x8","1"
"0.501811594202899","x8","1"
"0.522946859903382","x8","1"
"0.786231884057971","x8","1"
"0.493961352657005","x8","1"
"0.498188405797101","x8","1"
"0.518115942028985","x8","1"
"0.949011171497585","x8","2"
"0.818349939613527","x8","2"
"0.581899154589372","x8","2"
"0.81514190821256","x8","2"
"0.724826388888889","x8","2"
"0.801941802536232","x8","2"
"0.6295101147343","x8","2"
"0.75420818236715","x8","2"
"0.840560839371981","x8","2"
"0.877783439009662","x8","2"
"0.892474335748792","x8","3"
"0.958427687198068","x8","3"
"0.947105223429952","x8","3"
"0.884152324879227","x8","3"
"0.83954181763285","x8","3"
"0.97524154589372","x8","3"
"0.719278381642512","x8","3"
"0.799035703502415","x8","3"
"0.95315330615942","x8","3"
"0.697576992753623","x8","3"
"0.888473731884058","x8","4"
"0.97229770531401","x8","4"
"0.953313707729469","x8","4"
"0.89483318236715","x8","4"
"0.872263737922705","x8","4"
"0.981223580917874","x8","4"
"0.837541515700483","x8","4"
"0.986488526570048","x8","4"
"0.97560009057971","x8","4"
"0.902438103864734","x8","4"
"0.990149456521739","x8","5"
"0.973486564009662","x8","5"
"0.986431914251208","x8","5"
"0.890643870772947","x8","5"
"0.97463768115942","x8","5"
"0.98239356884058","x8","5"
"0.892295063405797","x8","5"
"0.990036231884058","x8","5"
"0.975637832125604","x8","5"
"0.915421195652174","x8","5"
"0.99609375","x8","6"
"0.976298309178744","x8","6"
"0.972203351449275","x8","6"
"0.976977657004831","x8","6"
"0.984280646135266","x8","6"
"0.975147192028985","x8","6"
"0.919374622584541","x8","6"
"0.985016606280193","x8","6"
"0.975467995169082","x8","6"
"0.941840277777778","x8","6"
"0.995225694444444","x8","7"
"0.978940217391304","x8","7"
"0.955012077294686","x8","7"
"0.996905193236715","x8","7"
"0.9810726147343","x8","7"
"0.986262077294686","x8","7"
"0.950935990338164","x8","7"
"0.992432820048309","x8","7"
"0.976487016908212","x8","7"
"0.942934782608696","x8","7"
"0.996320199275362","x8","8"
"0.988809631642512","x8","8"
"0.973278985507246","x8","8"
"0.995886171497585","x8","8"
"0.992829106280193","x8","8"
"0.989224788647343","x8","8"
"0.987281099033816","x8","8"
"0.993621678743961","x8","8"
"1","x8","8"
"0.955634812801932","x8","8"
"0.975694444444444","x8","9"
"0.97524154589372","x8","9"
"0.980902777777778","x8","9"
"0.997905344202899","x8","9"
"0.992810235507246","x8","9"
"0.989375754830918","x8","9"
"0.999169685990338","x8","9"
"0.998886624396135","x8","9"
"1","x8","9"
"0.957927611714976","x8","9"
"0.975694444444444","x8","10"
"0.976005812198068","x8","10"
"0.979034571256039","x8","10"
"0.997037288647343","x8","10"
"1","x8","10"
"0.998867753623188","x8","10"
"0.99933952294686","x8","10"
"0.989092693236715","x8","10"
"1","x8","10"
"0.957729468599034","x8","10"
"0.975637832125604","x8","11"
"0.996508907004831","x8","11"
"0.975883152173913","x8","11"
"0.986884812801932","x8","11"
"0.999547101449275","x8","11"
"0.999188556763285","x8","11"
"0.999358393719807","x8","11"
"0.999754679951691","x8","11"
"1","x8","11"
"0.970287967995169","x8","11"
"0.999528230676328","x8","12"
"0.996678743961353","x8","12"
"0.972033514492754","x8","12"
"0.987356582125604","x8","12"
"0.999924516908213","x8","12"
"0.999471618357488","x8","12"
"0.999320652173913","x8","12"
"0.999773550724638","x8","12"
"1","x8","12"
"0.969429347826087","x8","12"
"0.999679196859903","x8","13"
"0.996641002415459","x8","13"
"0.971863677536232","x8","13"
