"Index"	"Gene"
G1	365
G2	193
G3	332
G4	294
G5	227
G6	178
G7	206
G8	211
G9	223
G10	224
G11	231
G12	293
G13	350
G14	352
G15	278
G16	282
G17	279
G18	275
G19	296
G20	69
G21	149
G22	186
G23	331
G24	210
G25	403
G26	18
G27	14
G28	17
G29	13
G30	92
G31	298
G32	6
G33	11
G34	312
G35	10
G36	183
G37	162
G38	160
G39	161
G40	291
G41	111
G42	290
G43	113
G44	5
G45	203
G46	7
G47	119
G48	116
G49	292
G50	395
G51	118
G52	117
G53	67
G54	68
G55	136
G56	132
G57	135
G58	131
G59	140
G60	137
G61	133
G62	141
G63	134
G64	138
G65	139
G66	367
G67	264
G68	381
G69	64
G70	142
G71	340
G72	65
G73	103
G74	196
G75	355
G76	406
G77	1
G78	93
G79	190
G80	107
G81	191
G82	295
G83	165
G84	58
G85	164
G86	148
G87	147
G88	171
G89	197
G90	200
G91	127
G92	120
G93	346
G94	314
G95	309
G96	326
G97	199
G98	288
G99	315
G100	349
