"Index"	"Gene"
G1	YDR074W
G2	YKL128C
G3	YMR120C
G4	YLR028C
G5	YGR204W
G6	YGR191W
G7	YKR092C
G8	YLR058C
G9	YBR263W
G10	YEL046C
G11	YBR084W
G12	YOR241W
G13	YBR069C
G14	YPR110C
G15	YNL113W
G16	YOR210W
G17	YER146W
G18	YOR184W
G19	YER013W
G20	YMR072W
G21	YLR304C
G22	YLR355C
G23	YMR241W
G24	YDR148C
G25	YOR136W
G26	YGR244C
G27	YDL066W
G28	YIL125W
G29	YKL085W
G30	YOL126C
G31	YOR142W
G32	YLR174W
G33	YBR233W
G34	YNR001C
G35	YOL067C
G36	YPR001W
G37	YGL252C
G38	YNL037C
G39	YFL018C
G40	YCR005C
G41	YDL078C
G42	YAR035W
G43	YER024W
G44	YML042W
G45	YER073W
G46	YLR027C
G47	YKL037W
G48	YLL031C
G49	YDL014W
G50	YPL043W
G51	YAL001C
G52	YOR110W
G53	YHR143W-A
G54	YOR310C
G55	YGR047C
G56	YBR179C
G57	YJL112W
G58	YBR123C
G59	YGR170W
G60	YLR368W
G61	YGR246C
G62	YLL001W
G63	YNR003C
G64	YNL169C
G65	YJL062W
G66	YKL165C
G67	YIL065C
G68	YDR470C
G69	YPR052C
G70	YBL104C
G71	YNL039W
G72	YOR204W
G73	snR6
G74	YPL007C
G75	YDR362C
G76	YBR089C-A
G77	YER068W
G78	YOL045W
G79	YNL151C
G80	YDL160C
G81	YOR276W
G82	YIL038C
G83	YOR198C
G84	YAL017W
G85	YDR195W
G86	RDN58-1
G87	YGL222C
G88	YPL119C
G89	YAL021C
G90	YBR078W
G91	YCR093W
G92	YLR055C
G93	YGL207W
G94	YML010W
G95	RPR1
G96	YBR257W
G97	YDR294C
G98	YDR448W
G99	YDL189W
G100	YPR104C
