"Index"	"Gene"
G1	YHL020C
G2	YDR123C
G3	YGL238W
G4	YLR195C
G5	YKL182W
G6	YER015W
G7	YIL009W
G8	YMR246W
G9	YOR317W
G10	YMR008C
G11	YBR041W
G12	YMR006C
G13	YOL011W
G14	YOL108C
G15	YDR028C
G16	YBR050C
G17	YER148W
G18	YPL233W
G19	YGL241W
G20	YGL115W
G21	YMR270C
G22	YDR477W
G23	YOR249C
G24	YBR112C
G25	YBR195C
G26	YJL115W
G27	YOR047C
G28	YPL153C
G29	YGR180C
G30	YBR010W
G31	YDL042C
G32	YPL016W
G33	YER070W
G34	YNL031C
G35	YCL061C
G36	YNL289W
G37	YDR217C
G38	YJR043C
G39	YLR176C
G40	YMR001C
G41	YCR084C
G42	YKR030W
G43	YNL102W
G44	YOL004W
G45	YNL273W
G46	YDR369C
G47	YMR190C
G48	YHR118C
G49	YJR006W
G50	YGL035C
G51	YJL092W
G52	YMR048W
G53	YML058W
G54	YJL194W
G55	YJL090C
G56	YBR136W
G57	YML032C
G58	YML061C
G59	YDL220C
G60	YPR120C
G61	YPR018W
G62	YHR134W
G63	YGL087C
G64	YDL102W
G65	YDL101C
G66	YDR076W
G67	YBR274W
G68	YKR082W
G69	YOR360C
G70	YPR164W
G71	YLR079W
G72	YDL017W
G73	YNL330C
G74	YLR288C
G75	YNR052C
G76	YMR224C
G77	YPL024W
G78	YAR007C
G79	YER173W
G80	YDR207C
G81	YOR368W
G82	YPL022W
G83	YBL088C
G84	YPR135W
G85	YKL057C
G86	YPL194W
G87	YOL090W
G88	YOR033C
G89	YNL262W
G90	YIL150C
G91	YNL250W
G92	YCR092C
G93	YER095W
G94	YPL020C
G95	YKL101W
G96	YLR234W
G97	YDR052C
G98	YDR113C
G99	YDR499W
G100	YDR386W
